"","sample","total_peaks","OtoC_weightedMean","HtoC_weightedMean","OtoC_mean","HtoC_mean","CHO","CHON","CHOS","CHOP","CHONS","CHONP","CHOSP","CHONSP","Molecular_NA","Lipids","UnSaturated_Hydrocarbons","Condensed_Hydrocarbons","Proteins","Amino_Sugars","Carbohydrates","Lignin","Tannins","Compounds_NA","Aliphatics","AliphaticsN","Saturated","Condensed_Aromatics","Aromatic","LigninPhenolics","Aromaticity_NA"
"32","X.out38.",3461,0.358783860897103,1.0084449637378,0.351773123841591,1.15058595796889,94,180,163,88,190,252,110,128,2256,185,115,422,79,23,48,150,44,2395,115,142,252,2739,91,479,-357
"33","X.out39.",2798,0.35455337673173,1.04250299001092,0.347780778187349,1.1268021994732,100,251,173,63,203,197,78,107,1626,142,136,386,81,30,58,214,50,1701,103,140,179,2037,112,548,-321
"34","X.out4.",1223,0.281070227050885,1.24708297510009,0.41290954508578,0.905485577073791,22,45,105,28,86,49,29,91,768,47,40,212,13,10,1,48,9,843,24,35,100,973,28,182,-119
"35","X.out40.",3405,0.348250151949818,1.06454370194776,0.321976683585406,1.22071622651999,80,181,157,82,169,196,91,106,2343,186,125,308,70,20,49,147,35,2465,116,147,211,2710,83,479,-341
"36","X.out41.",2611,0.294995705750764,1.31782153513312,0.341978979064958,1.18658476451744,83,217,202,60,190,194,95,150,1420,200,159,348,56,21,56,176,29,1566,99,168,256,1773,84,604,-373
"37","X.out42.",2793,0.387323159047771,1.07308627337478,0.396551132777403,1.02353036145994,96,214,258,95,256,274,105,240,1255,185,158,627,54,21,55,187,62,1444,110,143,333,1893,124,631,-441
"38","X.out43.",2190,0.256470432188771,1.39853017531831,0.313307639812712,1.2930339303836,69,196,153,52,142,149,74,111,1244,166,138,223,65,22,50,148,20,1358,97,142,219,1486,73,489,-316
"39","X.out44.",2742,0.339666941905522,1.15730836329113,0.37861762813231,1.08667093972912,90,191,200,63,221,220,77,202,1478,176,144,452,52,24,47,167,24,1656,92,146,278,1942,80,577,-373
"40","X.out45.",2802,0.364156381500346,1.20918486108388,0.369880033414617,1.09898485062806,95,258,251,85,267,264,85,211,1286,213,184,545,73,32,78,194,46,1437,127,163,335,1836,111,680,-450
"41","X.out46.",3819,0.326923535058131,1.32023198843373,0.332862734163067,1.24408090294623,160,304,244,108,310,356,118,211,2008,324,212,501,139,41,73,276,46,2207,203,226,392,2554,116,904,-576
"42","X.out47.",4153,0.348843813230162,1.39883912610265,0.324548153266748,1.2427598885815,173,316,264,121,406,377,167,235,2094,359,259,594,169,38,80,285,39,2330,228,223,472,2752,151,933,-606
"43","X.out48.",3877,0.345841081940748,1.3424476851972,0.349734329326386,1.22160709824889,192,315,253,124,417,398,133,251,1794,366,239,619,149,47,100,271,50,2036,212,239,508,2496,150,915,-643
"44","X.out49.",3644,0.383479026588341,1.19576971425564,0.360066289874879,1.12642551829988,136,301,293,95,296,361,125,255,1782,284,233,655,90,37,98,205,57,1985,182,203,419,2487,139,807,-593
"45","X.out5.",1310,0.395913385035839,1.21333125968033,0.376018968371733,1.07613926989266,23,54,72,32,90,56,44,65,874,71,37,172,26,6,9,48,6,935,46,33,104,1041,23,186,-123
"46","X.out50.",1822,0.322256873950081,1.60295839778335,0.291715518648568,1.3757732766163,58,141,111,42,124,155,38,73,1080,151,104,151,70,17,43,105,8,1173,106,118,174,1270,50,388,-284
"47","X.out51.",2297,0.260780601456253,1.30861793207316,0.273216339844739,1.38591573550688,114,164,105,22,125,234,60,95,1378,209,117,199,99,11,35,104,15,1508,86,192,225,1624,55,453,-338
"48","X.out52.",3024,0.345535307571749,1.07866555775208,0.359995081956071,1.06052872918178,123,157,193,63,244,279,109,252,1604,214,150,561,71,17,28,140,36,1807,108,137,332,2196,92,560,-401
