"formula","site","depth","Suction_kPa"
"C18H23O2N3","PT","150-180",1.5
"C18H23O2N3","GS","0-30",1.5
"C18H23O2N3","PT","120-150",1.5
"C18H23O2N3","GS","60-90",1.5
"C18H23O2N3","PT","180-210",1.5
"C18H23O2N3","PT","90-120",15
"C18H23O2N3","PT","60-90",3
"C18H23O2N3","PT","60-90",1.5
"C18H23O2N3","PT","0-30",1.5
"C18H23O2N3","PT","150-180",15
"C18H23O2N3","PT","0-30",3
"C18H23O2N3","PT","90-120",3
"C18H23O2N3","PT","30-60",50
"C18H23O2N3","DMT","30-60",3
"C18H23O2N3","PT","30-60",1.5
"C18H23O2N3","PT","120-150",15
"C18H23O2N3","PT","30-60",3
"C18H23O2N3","PT","120-150",50
"C18H23O2N3","PT","0-30",50
"C18H23O2N3","PT","60-90",50
"C18H23O2N3","DMT","0-30",1.5
"C18H23O2N3","GS","60-90",3
"C18H23O2N3","PT","210-240",1.5
"C18H23O2N3","PT","60-90",15
"C18H23O2N3","GS","0-30",3
"C18H23O2N3","PT","120-150",3
"C18H23O2N3","PT","150-180",3
"C18H23O2N3","PT","180-210",3
"C18H23O2N3","PT","90-120",50
"C18H23O2N3","GS","30-60",1.5
"C18H23O2N3","DMT","30-60",50
"C18H23O2N3","DMT","30-60",1.5
"C18H23O2N3","PT","210-240",3
"C18H23O2N3","PT","0-30",15
"C18H23O2N3","PT","150-180",50
"C18H23O2N3","PT","180-210",50
"C18H23O2N3","GS","30-60",15
"C18H23O2N3","PT","210-240",50
"C18H23O2N3","DMT","0-30",15
"C18H23O2N3","GS","30-60",50
"C18H23O2N3","DMT","0-30",3
"C18H23O2N3","PT","30-60",15
"C18H23O2N3","PT","180-210",15
"C18H23O2N3","DMT","60-90",1.5
"C18H23O2N3","PT","90-120",1.5
"C18H23O2N3","DMT","30-60",15
"C14H4O3S1P2","DMT","30-60",3
"C11H4O2N6P2","DMT","0-30",3
"C13H14O1S4","DMT","0-30",15
"C13H14O1S4","DMT","0-30",3
"C10H24O3N2S1P2","PT","180-210",3
"C10H24O3N2S1P2","PT","180-210",50
"C15H14O4N4","PT","180-210",3
"C15H14O4N4","GS","30-60",15
"C7H18O8N6","GS","30-60",3
"C7H18O8N6","PT","150-180",1.5
"C7H18O8N6","GS","0-30",1.5
"C7H18O8N6","PT","120-150",1.5
"C7H18O8N6","GS","60-90",1.5
"C7H18O8N6","PT","180-210",1.5
"C7H18O8N6","PT","90-120",15
"C7H18O8N6","PT","60-90",3
"C7H18O8N6","PT","60-90",1.5
"C7H18O8N6","PT","0-30",1.5
"C7H18O8N6","PT","150-180",15
"C7H18O8N6","PT","0-30",3
"C7H18O8N6","PT","90-120",3
"C7H18O8N6","PT","30-60",50
"C7H18O8N6","DMT","30-60",3
"C7H18O8N6","PT","30-60",1.5
"C7H18O8N6","PT","120-150",15
"C7H18O8N6","PT","30-60",3
"C7H18O8N6","PT","120-150",50
"C7H18O8N6","PT","0-30",50
"C7H18O8N6","PT","60-90",50
"C7H18O8N6","DMT","0-30",1.5
"C7H18O8N6","GS","60-90",3
"C7H18O8N6","PT","210-240",1.5
"C7H18O8N6","PT","60-90",15
"C7H18O8N6","GS","0-30",3
"C7H18O8N6","PT","150-180",3
"C7H18O8N6","PT","180-210",3
"C7H18O8N6","PT","90-120",50
"C7H18O8N6","GS","30-60",1.5
"C7H18O8N6","DMT","30-60",50
"C7H18O8N6","DMT","30-60",1.5
"C7H18O8N6","PT","210-240",3
"C7H18O8N6","PT","0-30",15
"C7H18O8N6","PT","150-180",50
"C7H18O8N6","GS","30-60",15
"C7H18O8N6","PT","210-240",50
"C7H18O8N6","DMT","0-30",15
"C7H18O8N6","GS","30-60",50
"C7H18O8N6","PT","180-210",50
"C7H18O8N6","DMT","0-30",3
"C7H18O8N6","PT","30-60",15
"C7H18O8N6","PT","180-210",15
"C7H18O8N6","DMT","60-90",1.5
"C7H18O8N6","PT","90-120",1.5
"C7H18O8N6","DMT","30-60",15
"C11H18O5N6","PT","0-30",50
"C8H22O7N6","GS","30-60",3
"C8H22O7N6","GS","0-30",1.5
"C8H22O7N6","PT","120-150",1.5
"C8H22O7N6","PT","180-210",1.5
"C8H22O7N6","PT","60-90",3
"C8H22O7N6","PT","0-30",1.5
"C8H22O7N6","PT","150-180",15
"C8H22O7N6","PT","0-30",3
"C8H22O7N6","PT","90-120",3
"C8H22O7N6","DMT","30-60",3
"C8H22O7N6","PT","120-150",15
"C8H22O7N6","PT","120-150",50
"C8H22O7N6","PT","0-30",50
"C8H22O7N6","PT","60-90",50
"C8H22O7N6","DMT","0-30",1.5
"C8H22O7N6","GS","60-90",3
"C8H22O7N6","PT","210-240",1.5
"C8H22O7N6","PT","60-90",15
"C8H22O7N6","GS","0-30",3
"C8H22O7N6","PT","180-210",3
"C8H22O7N6","PT","90-120",15
"C8H22O7N6","GS","30-60",1.5
"C8H22O7N6","DMT","30-60",50
"C8H22O7N6","DMT","30-60",1.5
"C8H22O7N6","PT","0-30",15
"C8H22O7N6","PT","150-180",50
"C8H22O7N6","GS","30-60",15
"C8H22O7N6","DMT","0-30",15
"C8H22O7N6","DMT","0-30",3
"C8H22O7N6","PT","90-120",1.5
"C8H22O7N6","DMT","30-60",15
"C15H29N3S1P1","PT","180-210",1.5
"C15H29N3S1P1","GS","0-30",1.5
"C15H29N3S1P1","DMT","30-60",3
"C15H29N3S1P1","PT","120-150",50
"C15H29N3S1P1","PT","90-120",15
"C15H29N3S1P1","PT","180-210",50
"C13H17O2N1S3","PT","210-240",1.5
"C16H17O4N3","GS","30-60",3
"C16H17O4N3","GS","0-30",1.5
"C16H17O4N3","PT","60-90",3
"C16H17O4N3","PT","0-30",3
"C16H17O4N3","PT","0-30",50
"C16H17O4N3","GS","60-90",3
"C16H17O4N3","GS","0-30",3
"C16H17O4N3","PT","180-210",3
"C16H17O4N3","DMT","30-60",50
"C16H17O4N3","DMT","30-60",1.5
"C16H17O4N3","PT","0-30",15
"C16H17O4N3","PT","150-180",50
"C16H17O4N3","PT","120-150",15
"C16H17O4N3","GS","30-60",15
"C16H17O4N3","DMT","0-30",15
"C16H17O4N3","GS","30-60",50
"C16H17O4N3","PT","180-210",50
"C16H17O4N3","DMT","0-30",3
"C16H17O4N3","DMT","30-60",15
"C16H28O2S1P1","GS","30-60",1.5
"C16H28O4P1","GS","60-90",3
"C16H28O4P1","DMT","30-60",50
"C12H14S3P2","PT","90-120",15
"C12H14S3P2","PT","120-150",15
"C12H14S3P2","PT","30-60",3
"C12H14S3P2","PT","60-90",15
"C12H14S3P2","PT","120-150",3
"C12H14S3P2","DMT","30-60",50
"C12H14S3P2","PT","210-240",50
"C9H16O2S5","PT","60-90",15
"C9H16O2S5","DMT","0-30",15
"C9H16O2S5","DMT","0-30",3
"C13H16O7S1","PT","0-30",50
"C13H16O7S1","GS","60-90",3
"C13H16O7S1","PT","0-30",15
"C13H16O7S1","DMT","0-30",15
"C13H16O7S1","DMT","60-90",1.5
"C13H16O7S1","DMT","30-60",15
"C11H20O1N6S2","PT","180-210",3
"C11H20O1N6S2","PT","0-30",50
"C11H20O1N6S2","DMT","0-30",15
"C11H20O1N6S2","GS","30-60",50
"C11H20O1N6S2","PT","180-210",50
"C11H20O1N6S2","DMT","0-30",3
"C11H20O1N6S2","PT","0-30",15
"C18H36O4","GS","30-60",50
"C10H22O5S2P1","PT","180-210",3
"C10H22O5S2P1","GS","30-60",50
"C10H22O5S2P1","DMT","0-30",3
"C15H15O5N3","PT","180-210",3
"C15H15O5N3","DMT","0-30",3
"C15H15O5N3","PT","0-30",15
"C17H34O1S1P1","PT","60-90",15
"C13H4O4S1P2","DMT","30-60",15
"C17H5O2N1S1P1","PT","0-30",3
"C17H5O2N1S1P1","PT","0-30",50
"C17H5O2N1S1P1","GS","60-90",3
"C17H5O2N1S1P1","PT","180-210",3
"C17H5O2N1S1P1","DMT","30-60",50
"C17H5O2N1S1P1","PT","0-30",15
"C17H5O2N1S1P1","GS","30-60",50
"C8H9O3N5S2P1","PT","90-120",15
"C12H5O6N3P1","DMT","0-30",15
"C12H5O6N3P1","DMT","0-30",3
"C17H6O3N2S1","PT","120-150",15
"C19H12O1P2","DMT","0-30",15
"C13H5N9P1","PT","180-210",3
"C13H5N9P1","GS","30-60",50
"C13H5N9P1","PT","180-210",50
"C17H18S3","PT","180-210",3
"C13H22O3N2S2","DMT","30-60",50
"C17H18O6","DMT","30-60",50
"C8H19O8N1P2","GS","30-60",15
"C8H19O8N1P2","GS","30-60",50
"C8H4O6N2S3","PT","90-120",15
"C8H4O6N2S3","PT","120-150",15
"C8H4O6N2S3","PT","120-150",50
"C8H4O6N2S3","PT","0-30",50
"C8H4O6N2S3","PT","60-90",15
"C8H4O6N2S3","PT","210-240",50
"C8H4O6N2S3","DMT","0-30",3
"C6H3O5N5S2P1","DMT","0-30",15
"C6H3O5N5S2P1","DMT","0-30",3
"C6H3O5N5S2P1","DMT","30-60",15
"C8H16O3S5","PT","90-120",15
"C8H16O3S5","PT","30-60",50
"C8H16O3S5","PT","120-150",15
"C8H16O3S5","PT","0-30",50
"C8H16O3S5","PT","60-90",15
"C8H16O3S5","DMT","30-60",50
"C11H6O4N4P2","PT","180-210",1.5
"C11H6O4N4P2","PT","60-90",1.5
"C11H6O4N4P2","DMT","30-60",3
"C11H6O4N4P2","PT","120-150",15
"C11H6O4N4P2","GS","0-30",3
"C11H6O4N4P2","PT","60-90",15
"C11H6O4N4P2","DMT","30-60",50
"C11H6O4N4P2","PT","210-240",3
"C11H6O4N4P2","GS","30-60",15
"C11H6O4N4P2","PT","210-240",50
"C11H6O4N4P2","DMT","0-30",15
"C11H6O4N4P2","PT","180-210",50
"C11H6O4N4P2","PT","0-30",15
"C11H6O4N4P2","DMT","30-60",15
"C16H4O6N2","DMT","0-30",15
"C10H11O9N1P1","PT","180-210",3
"C10H11O9N1P1","DMT","30-60",50
"C10H11O9N1P1","GS","30-60",15
"C10H11O9N1P1","GS","30-60",50
"C18H11O1N1S1P1","GS","30-60",3
"C18H11O1N1S1P1","GS","0-30",1.5
"C18H11O1N1S1P1","PT","120-150",1.5
"C18H11O1N1S1P1","PT","60-90",3
"C18H11O1N1S1P1","PT","0-30",3
"C18H11O1N1S1P1","PT","30-60",50
"C18H11O1N1S1P1","PT","120-150",15
"C18H11O1N1S1P1","PT","120-150",50
"C18H11O1N1S1P1","PT","0-30",50
"C18H11O1N1S1P1","PT","60-90",50
"C18H11O1N1S1P1","DMT","0-30",1.5
"C18H11O1N1S1P1","GS","60-90",3
"C18H11O1N1S1P1","PT","210-240",1.5
"C18H11O1N1S1P1","PT","60-90",15
"C18H11O1N1S1P1","PT","180-210",3
"C18H11O1N1S1P1","GS","30-60",1.5
"C18H11O1N1S1P1","DMT","30-60",50
"C18H11O1N1S1P1","PT","0-30",15
"C15H15O5N1P1","PT","60-90",3
"C15H15O5N1P1","PT","0-30",3
"C15H15O5N1P1","PT","0-30",50
"C15H15O5N1P1","GS","60-90",3
"C15H15O5N1P1","PT","180-210",3
"C15H15O5N1P1","GS","30-60",1.5
"C15H15O5N1P1","DMT","30-60",50
"C15H15O5N1P1","PT","180-210",50
"C15H16O4N2S1","GS","30-60",15
"C16H16O7","DMT","0-30",15
"C16H20O1N2S2","DMT","30-60",50
"C10H20O6N6","GS","60-90",3
"C10H20O6N6","PT","180-210",3
"C15H28O7","GS","60-90",3
"C15H28O7","PT","210-240",1.5
"C15H28O7","PT","180-210",3
"C10H11O11N1","PT","0-30",50
"C10H11O11N1","GS","60-90",3
"C10H11O11N1","DMT","30-60",50
"C13H17O1N5P2","PT","180-210",3
"C13H17O1N5P2","GS","30-60",15
"C13H17O1N5P2","PT","210-240",50
"C13H17O1N5P2","GS","30-60",50
"C17H24P3","PT","0-30",50
"C17H24P3","PT","30-60",50
"C17H24P3","GS","60-90",3
"C17H24P3","PT","210-240",1.5
"C17H24P3","PT","60-90",15
"C17H24P3","DMT","30-60",50
"C15H30O3S1P1","GS","30-60",3
"C15H30O3S1P1","PT","60-90",3
"C15H30O3S1P1","PT","30-60",50
"C15H30O3S1P1","PT","120-150",15
"C15H30O3S1P1","PT","120-150",50
"C15H30O3S1P1","PT","0-30",50
"C15H30O3S1P1","PT","60-90",50
"C15H30O3S1P1","DMT","0-30",1.5
"C15H30O3S1P1","GS","60-90",3
"C15H30O3S1P1","PT","210-240",1.5
"C15H30O3S1P1","PT","60-90",15
"C15H30O3S1P1","PT","180-210",3
"C15H30O3S1P1","GS","30-60",1.5
"C15H30O3S1P1","DMT","30-60",50
"C15H30O3S1P1","GS","30-60",15
"C15H30O3S1P1","DMT","0-30",15
"C14H31O1N3S2","PT","0-30",50
"C14H31O1N3S2","GS","60-90",3
"C14H31O1N3S2","DMT","30-60",50
"C16H34O2S1P1","GS","60-90",3
"C7H2O7N2S3","DMT","30-60",3
"C7H4O5N2S2P2","PT","180-210",1.5
"C7H4O5N2S2P2","DMT","30-60",3
"C5H2O3N6S4","PT","60-90",15
"C13H9O7N1P1","PT","180-210",3
"C13H10O6N2S1","PT","0-30",50
"C11H14O9S1","PT","210-240",1.5
"C15H17O5N1P1","GS","30-60",3
"C15H17O5N1P1","GS","0-30",1.5
"C15H17O5N1P1","PT","120-150",1.5
"C15H17O5N1P1","GS","60-90",1.5
"C15H17O5N1P1","PT","60-90",3
"C15H17O5N1P1","PT","60-90",1.5
"C15H17O5N1P1","PT","0-30",3
"C15H17O5N1P1","PT","90-120",3
"C15H17O5N1P1","PT","30-60",50
"C15H17O5N1P1","PT","30-60",1.5
"C15H17O5N1P1","PT","120-150",15
"C15H17O5N1P1","PT","120-150",50
"C15H17O5N1P1","PT","0-30",50
"C15H17O5N1P1","PT","60-90",50
"C15H17O5N1P1","DMT","0-30",1.5
"C15H17O5N1P1","GS","60-90",3
"C15H17O5N1P1","PT","210-240",1.5
"C15H17O5N1P1","PT","60-90",15
"C15H17O5N1P1","GS","0-30",3
"C15H17O5N1P1","PT","150-180",3
"C15H17O5N1P1","PT","180-210",3
"C15H17O5N1P1","GS","30-60",1.5
"C15H17O5N1P1","DMT","30-60",50
"C15H17O5N1P1","DMT","30-60",1.5
"C15H17O5N1P1","PT","0-30",15
"C15H17O5N1P1","PT","150-180",50
"C15H17O5N1P1","GS","30-60",15
"C15H17O5N1P1","DMT","0-30",15
"C15H17O5N1P1","GS","30-60",50
"C15H17O5N1P1","PT","180-210",50
"C15H17O5N1P1","DMT","0-30",3
"C15H17O5N1P1","PT","30-60",15
"C15H17O5N1P1","DMT","30-60",15
"C12H22O4N2S2","PT","210-240",1.5
"C12H22O4N2S2","DMT","30-60",50
"C17H22O4S1","PT","0-30",50
"C17H22O4S1","PT","180-210",3
"C13H22O9","GS","30-60",3
"C13H22O9","GS","0-30",1.5
"C13H22O9","PT","90-120",15
"C13H22O9","PT","0-30",50
"C13H22O9","PT","30-60",50
"C13H22O9","PT","60-90",50
"C13H22O9","GS","60-90",3
"C13H22O9","PT","210-240",1.5
"C13H22O9","PT","180-210",3
"C13H22O9","PT","120-150",3
"C13H22O9","PT","60-90",3
"C13H22O9","GS","30-60",1.5
"C13H22O9","DMT","30-60",50
"C13H22O9","DMT","30-60",1.5
"C13H22O9","PT","0-30",15
"C13H22O9","PT","180-210",50
"C13H22O9","GS","30-60",15
"C13H22O9","PT","210-240",50
"C13H22O9","GS","30-60",50
"C13H22O9","PT","30-60",15
"C13H22O9","PT","180-210",15
"C13H22O9","PT","120-150",1.5
"C13H22O9","PT","30-60",1.5
"C13H22O9","PT","90-120",1.5
"C15H32O3S1P1","PT","0-30",50
"C15H32O3S1P1","DMT","30-60",1.5
"C7H4O5N2S4","DMT","30-60",3
"C6H4O4N4S4","PT","120-150",15
"C6H4O4N4S4","PT","0-30",50
"C6H4O4N4S4","GS","60-90",3
"C6H4O4N4S4","PT","210-240",1.5
"C6H4O4N4S4","DMT","0-30",15
"C6H4O4N4S4","DMT","0-30",3
"C10H12O2S5","DMT","0-30",15
"C10H12O2S5","DMT","0-30",3
"C10H3O6N3S1P1","PT","60-90",15
"C10H3O6N3S1P1","DMT","0-30",15
"C10H3O6N3S1P1","DMT","0-30",3
"C10H3O6N3S1P1","DMT","30-60",15
"C10H14O4S2P2","PT","180-210",50
"C13H11O7N1P1","PT","0-30",50
"C13H11O7N1P1","GS","60-90",3
"C13H11O7N1P1","PT","180-210",3
"C13H11O7N1P1","PT","0-30",15
"C13H11O7N1P1","GS","30-60",50
"C14H15O6N1P1","PT","0-30",3
"C14H15O6N1P1","DMT","30-60",50
"C19H16O1S2","PT","0-30",50
"C19H16O1S2","GS","60-90",3
"C10H16O10N2","GS","60-90",3
"C17H8N8","DMT","30-60",50
"C12H20O8S1","PT","210-240",1.5
"C16H25N1P3","PT","90-120",15
"C16H25N1P3","PT","120-150",15
"C16H25N1P3","PT","120-150",50
"C16H25N1P3","PT","0-30",50
"C16H25N1P3","PT","60-90",50
"C16H25N1P3","DMT","0-30",1.5
"C16H25N1P3","GS","60-90",3
"C16H25N1P3","PT","210-240",1.5
"C16H25N1P3","PT","60-90",15
"C16H25N1P3","PT","180-210",3
"C16H25N1P3","DMT","30-60",50
"C16H25N1P3","GS","30-60",15
"C16H25N1P3","PT","210-240",50
"C16H25N1P3","DMT","0-30",15
"C16H25N1P3","GS","30-60",50
"C16H25N1P3","PT","180-210",50
"C16H25N1P3","DMT","0-30",3
"C16H25N1P3","PT","0-30",15
"C14H33O1N1P3","DMT","0-30",15
"C14H33O1N1P3","DMT","0-30",3
"C12H28O6N4","PT","90-120",15
"C12H28O6N4","PT","30-60",50
"C12H28O6N4","PT","30-60",3
"C12H28O6N4","PT","120-150",50
"C12H28O6N4","PT","0-30",50
"C12H28O6N4","GS","60-90",3
"C12H28O6N4","PT","210-240",1.5
"C12H28O6N4","PT","60-90",15
"C12H28O6N4","DMT","30-60",50
"C12H28O6N4","PT","90-120",1.5
"C15H28O2N6","PT","120-150",15
"C15H28O2N6","GS","30-60",15
"C15H28O2N6","PT","210-240",50
"C15H28O2N6","DMT","0-30",15
"C15H28O2N6","GS","30-60",50
"C15H28O2N6","PT","180-210",50
"C15H28O2N6","DMT","0-30",3
"C15H28O2N6","PT","0-30",15
"C22H15N1S1","DMT","30-60",50
"C14H30O4S1P1","PT","180-210",3
"C14H30O4S1P1","PT","0-30",50
"C14H30O4S1P1","DMT","30-60",50
"C14H30O4S1P1","GS","30-60",15
"C14H30O4S1P1","PT","210-240",50
"C11H27O4N5S1","GS","30-60",3
"C11H27O4N5S1","GS","0-30",1.5
"C11H27O4N5S1","PT","120-150",1.5
"C11H27O4N5S1","GS","60-90",1.5
"C11H27O4N5S1","PT","180-210",1.5
"C11H27O4N5S1","PT","60-90",3
"C11H27O4N5S1","PT","60-90",1.5
"C11H27O4N5S1","PT","150-180",15
"C11H27O4N5S1","PT","0-30",3
"C11H27O4N5S1","PT","90-120",3
"C11H27O4N5S1","PT","30-60",50
"C11H27O4N5S1","PT","120-150",15
"C11H27O4N5S1","PT","30-60",3
"C11H27O4N5S1","PT","120-150",50
"C11H27O4N5S1","PT","0-30",50
"C11H27O4N5S1","PT","60-90",50
"C11H27O4N5S1","DMT","0-30",1.5
"C11H27O4N5S1","GS","60-90",3
"C11H27O4N5S1","PT","210-240",1.5
"C11H27O4N5S1","PT","60-90",15
"C11H27O4N5S1","GS","0-30",3
"C11H27O4N5S1","PT","150-180",3
"C11H27O4N5S1","PT","180-210",3
"C11H27O4N5S1","PT","90-120",15
"C11H27O4N5S1","GS","30-60",1.5
"C11H27O4N5S1","DMT","30-60",50
"C11H27O4N5S1","DMT","30-60",1.5
"C11H27O4N5S1","PT","0-30",15
"C11H27O4N5S1","GS","30-60",15
"C11H27O4N5S1","DMT","0-30",15
"C11H27O4N5S1","GS","30-60",50
"C11H27O4N5S1","PT","180-210",50
"C11H27O4N5S1","DMT","0-30",3
"C11H27O4N5S1","PT","90-120",1.5
"C11H27O4N5S1","DMT","30-60",15
"C11H27O6N5","DMT","30-60",3
"C6H2O6N2S4","PT","120-150",15
"C6H2O6N2S4","GS","30-60",15
"C6H2O6N2S4","PT","210-240",50
"C6H2O6N2S4","DMT","0-30",15
"C6H2O6N2S4","GS","30-60",50
"C6H2O6N2S4","PT","180-210",50
"C6H2O6N2S4","DMT","0-30",3
"C6H2O6N2S4","DMT","60-90",1.5
"C8H8O6S2P2","DMT","30-60",3
"C19H6O4N2","PT","0-30",50
"C16H6O1N8","PT","180-210",3
"C16H6O1N8","PT","0-30",50
"C16H6O1N8","GS","30-60",15
"C16H6O1N8","PT","210-240",50
"C16H6O1N8","GS","30-60",50
"C15H23O1N1P3","PT","90-120",15
"C15H23O1N1P3","PT","120-150",15
"C15H23O1N1P3","PT","0-30",50
"C15H23O1N1P3","PT","180-210",3
"C15H23O1N1P3","GS","30-60",15
"C15H23O1N1P3","PT","210-240",50
"C15H23O1N1P3","DMT","0-30",15
"C15H23O1N1P3","GS","30-60",50
"C15H23O1N1P3","DMT","0-30",3
"C12H27O1N1S1P3","DMT","0-30",15
"C12H27O1N1S1P3","DMT","0-30",3
"C16H27N1P3","GS","30-60",3
"C16H27N1P3","GS","0-30",50
"C16H27N1P3","PT","150-180",1.5
"C16H27N1P3","GS","0-30",1.5
"C16H27N1P3","PT","90-120",15
"C16H27N1P3","PT","60-90",3
"C16H27N1P3","PT","0-30",1.5
"C16H27N1P3","PT","0-30",3
"C16H27N1P3","PT","30-60",50
"C16H27N1P3","PT","30-60",1.5
"C16H27N1P3","PT","120-150",15
"C16H27N1P3","PT","30-60",3
"C16H27N1P3","PT","120-150",50
"C16H27N1P3","PT","0-30",50
"C16H27N1P3","PT","60-90",50
"C16H27N1P3","DMT","0-30",1.5
"C16H27N1P3","GS","60-90",3
"C16H27N1P3","GS","0-30",15
"C16H27N1P3","PT","210-240",1.5
"C16H27N1P3","PT","60-90",15
"C16H27N1P3","PT","120-150",3
"C16H27N1P3","PT","180-210",3
"C16H27N1P3","DMT","30-60",50
"C16H27N1P3","PT","0-30",15
"C16H27N1P3","GS","30-60",15
"C16H27N1P3","PT","210-240",50
"C16H27N1P3","DMT","0-30",15
"C16H27N1P3","GS","30-60",50
"C16H27N1P3","DMT","0-30",3
"C16H27N1P3","PT","180-210",15
"C16H27N1P3","PT","90-120",3
"C20H22O4","PT","180-210",3
"C17H26O4S1","PT","120-150",15
"C17H26O4S1","PT","30-60",3
"C17H26O4S1","PT","0-30",50
"C17H26O4S1","DMT","0-30",1.5
"C17H26O4S1","GS","60-90",3
"C17H26O4S1","PT","210-240",1.5
"C17H26O4S1","PT","60-90",15
"C17H26O4S1","GS","30-60",1.5
"C17H26O4S1","PT","210-240",3
"C17H26O4S1","PT","0-30",15
"C17H26O4S1","DMT","0-30",15
"C17H26O4S1","DMT","0-30",3
"C17H26O4S1","GS","30-60",3
"C17H26O4S1","DMT","30-60",15
"C17H29O3N1P1","PT","180-210",3
"C18H30O3S1","DMT","30-60",3
"C18H30O3S1","PT","120-150",15
"C18H30O3S1","PT","30-60",3
"C18H30O3S1","PT","0-30",50
"C18H30O3S1","DMT","0-30",1.5
"C18H30O3S1","GS","60-90",3
"C18H30O3S1","PT","210-240",1.5
"C18H30O3S1","PT","60-90",15
"C18H30O3S1","GS","30-60",1.5
"C18H30O3S1","PT","210-240",3
"C18H30O3S1","PT","0-30",15
"C18H30O3S1","DMT","0-30",15
"C18H30O3S1","DMT","0-30",3
"C18H30O3S1","PT","30-60",15
"C18H30O3S1","DMT","60-90",1.5
"C18H30O3S1","GS","30-60",3
"C18H30O3S1","PT","90-120",1.5
"C18H30O3S1","DMT","30-60",15
"C13H28O3S2P1","GS","60-90",1.5
"C13H28O3S2P1","PT","0-30",50
"C13H28O3S2P1","GS","0-30",3
"C13H28O3S2P1","PT","180-210",3
"C13H28O3S2P1","DMT","30-60",50
"C13H28O3S2P1","DMT","30-60",1.5
"C13H28O3S2P1","PT","0-30",15
"C13H28O3S2P1","GS","30-60",15
"C13H28O3S2P1","DMT","0-30",15
"C13H28O3S2P1","GS","30-60",50
"C13H28O3S2P1","PT","180-210",50
"C13H28O3S2P1","DMT","0-30",3
"C13H28O3S2P1","DMT","30-60",15
"C10H25O5N5S1","PT","120-150",1.5
"C10H25O5N5S1","PT","180-210",1.5
"C10H25O5N5S1","PT","0-30",3
"C10H25O5N5S1","PT","120-150",15
"C10H25O5N5S1","PT","120-150",50
"C10H25O5N5S1","PT","0-30",50
"C10H25O5N5S1","DMT","0-30",1.5
"C10H25O5N5S1","GS","60-90",3
"C10H25O5N5S1","PT","60-90",15
"C10H25O5N5S1","PT","180-210",3
"C10H25O5N5S1","GS","30-60",1.5
"C10H25O5N5S1","DMT","30-60",50
"C10H25O5N5S1","PT","0-30",15
"C10H25O5N5S1","DMT","0-30",15
"C10H25O5N5S1","PT","180-210",50
"C10H25O5N5S1","DMT","0-30",3
"C10H4O3N2S4","GS","60-90",3
"C10H4O3N2S4","PT","210-240",1.5
"C8H3O4N5S2P1","GS","0-30",1.5
"C8H3O4N5S2P1","PT","120-150",1.5
"C8H3O4N5S2P1","PT","90-120",15
"C8H3O4N5S2P1","PT","60-90",3
"C8H3O4N5S2P1","PT","60-90",1.5
"C8H3O4N5S2P1","PT","0-30",3
"C8H3O4N5S2P1","PT","90-120",3
"C8H3O4N5S2P1","PT","30-60",50
"C8H3O4N5S2P1","DMT","30-60",3
"C8H3O4N5S2P1","PT","30-60",1.5
"C8H3O4N5S2P1","PT","120-150",15
"C8H3O4N5S2P1","PT","30-60",3
"C8H3O4N5S2P1","PT","120-150",50
"C8H3O4N5S2P1","PT","0-30",50
"C8H3O4N5S2P1","GS","60-90",3
"C8H3O4N5S2P1","PT","210-240",1.5
"C8H3O4N5S2P1","PT","60-90",15
"C8H3O4N5S2P1","PT","120-150",3
"C8H3O4N5S2P1","PT","150-180",3
"C8H3O4N5S2P1","PT","180-210",3
"C8H3O4N5S2P1","PT","90-120",50
"C8H3O4N5S2P1","DMT","30-60",50
"C8H3O4N5S2P1","PT","180-210",50
"C8H3O4N5S2P1","PT","210-240",50
"C8H3O4N5S2P1","DMT","0-30",3
"C8H3O4N5S2P1","PT","0-30",15
"C8H3O4N5S2P1","DMT","60-90",1.5
"C8H3O4N5S2P1","PT","90-120",1.5
"C15H7O2N1S2P1","PT","0-30",50
"C15H7O2N1S2P1","GS","60-90",3
"C15H7O2N1S2P1","PT","120-150",3
"C15H7O2N1S2P1","PT","180-210",3
"C15H7O2N1S2P1","DMT","30-60",50
"C15H7O2N1S2P1","PT","0-30",15
"C15H7O2N1S2P1","PT","180-210",50
"C15H7O2N1S2P1","PT","30-60",15
"C13H4O3N4S2","DMT","0-30",15
"C15H4O2N8","GS","30-60",15
"C15H4O2N8","GS","30-60",50
"C17H12O7","DMT","0-30",15
"C17H12O7","GS","30-60",15
"C15H20O2S3","GS","30-60",50
"C11H26O3N2S1P2","PT","180-210",3
"C15H25O1N1P3","PT","90-120",15
"C15H25O1N1P3","PT","120-150",15
"C15H25O1N1P3","PT","0-30",50
"C15H25O1N1P3","PT","60-90",50
"C15H25O1N1P3","PT","210-240",1.5
"C15H25O1N1P3","PT","60-90",15
"C15H25O1N1P3","PT","180-210",3
"C15H25O1N1P3","DMT","30-60",50
"C15H25O1N1P3","DMT","30-60",1.5
"C15H25O1N1P3","GS","30-60",15
"C15H25O1N1P3","PT","210-240",50
"C15H25O1N1P3","DMT","0-30",15
"C15H25O1N1P3","GS","30-60",50
"C15H25O1N1P3","DMT","0-30",3
"C15H25O1N1P3","PT","180-210",15
"C15H25O1N1P3","PT","0-30",15
"C16H24O3S2","GS","0-30",1.5
"C16H24O3S2","PT","0-30",50
"C16H24O3S2","GS","60-90",3
"C16H24O3S2","PT","210-240",1.5
