"formula","site","depth","Suction_kPa"
"C10H12O5S1","PT","180-210",1.5
"C10H12O5S1","PT","60-90",3
"C10H12O5S1","PT","60-90",1.5
"C10H12O5S1","PT","0-30",1.5
"C10H12O5S1","PT","150-180",15
"C10H12O5S1","PT","0-30",3
"C10H12O5S1","PT","90-120",3
"C10H12O5S1","PT","30-60",50
"C10H12O5S1","DMT","30-60",3
"C10H12O5S1","PT","30-60",1.5
"C10H12O5S1","PT","120-150",50
"C10H12O5S1","PT","0-30",50
"C10H12O5S1","DMT","0-30",1.5
"C10H12O5S1","GS","60-90",3
"C10H12O5S1","PT","210-240",1.5
"C10H12O5S1","GS","0-30",3
"C10H12O5S1","PT","150-180",3
"C10H12O5S1","PT","180-210",3
"C10H12O5S1","PT","60-90",15
"C10H12O5S1","PT","90-120",15
"C10H12O5S1","GS","30-60",1.5
"C10H12O5S1","DMT","30-60",50
"C10H12O5S1","DMT","30-60",1.5
"C10H12O5S1","PT","210-240",3
"C10H12O5S1","PT","0-30",15
"C10H12O5S1","PT","150-180",50
"C10H12O5S1","PT","120-150",15
"C10H12O5S1","GS","30-60",15
"C10H12O5S1","PT","210-240",50
"C10H12O5S1","DMT","0-30",15
"C10H12O5S1","GS","30-60",50
"C10H12O5S1","PT","180-210",50
"C10H12O5S1","DMT","0-30",3
"C10H12O5S1","PT","30-60",15
"C10H12O5S1","PT","180-210",15
"C10H12O5S1","DMT","60-90",1.5
"C10H12O5S1","PT","90-120",1.5
"C10H12O5S1","DMT","30-60",15
"C6H15O5N1S1P1","GS","30-60",50
"C11H7O4N3","PT","180-210",3
"C11H7O4N3","DMT","30-60",50
"C11H7O4N3","PT","0-30",15
"C11H7O4N3","GS","30-60",15
"C11H7O4N3","GS","30-60",50
"C11H7O4N3","PT","180-210",50
"C11H7O4N3","DMT","0-30",3
"C7H10O4N4P1","PT","0-30",50
"C7H10O4N4P1","PT","180-210",3
"C7H10O4N4P1","DMT","30-60",1.5
"C7H10O4N4P1","PT","0-30",15
"C7H10O4N4P1","DMT","0-30",15
"C7H10O4N4P1","GS","30-60",50
"C7H10O4N4P1","PT","180-210",50
"C7H10O4N4P1","DMT","0-30",3
"C9H7N7S1","GS","60-90",3
"C13H12O1P2","PT","180-210",3
"C13H12O1P2","PT","0-30",50
"C13H12O1P2","PT","0-30",15
"C13H12O1P2","GS","30-60",50
"C13H12O1P2","PT","180-210",50
"C11H8O3N2S1","DMT","0-30",3
"C10H21N1S1P2","PT","180-210",3
"C10H21N1S1P2","DMT","30-60",50
"C10H21N1S1P2","DMT","0-30",15
"C10H21N1S1P2","GS","30-60",50
