"","formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"12277","C18H15O11N1S1P3",NA,"unsaturated/lignin","unsaturated/lignin",0.4,0.6667,0.83,0.61,-2.5,13.5,-0.1389
"12278","C18H12O16P2",NA,"unsaturated/lignin","unsaturated/lignin",0.5,1.1111,0.67,0.89,-4,14,-0.2222
"12279","C21H9O15N1P1",NA,"condensed aromatic","condensed aromatic",0.7826,1.1429,0.43,0.71,1.5,18.5,0.0714
"12280","C20H18O14S2",NA,"unsaturated/lignin","unsaturated/lignin",0.2727,0.7,0.9,0.7,-4,12,-0.2
"12281","C16H18O19S1",NA,"unsaturated/lignin","unsaturated/lignin",-0.4545,1.375,1.12,1.19,-12,8,-0.75
"12282","C26H14O8N2S2",NA,"condensed aromatic","condensed aromatic",0.7222,0.4615,0.54,0.31,9,21,0.3462
"12283","C30H10O11",NA,"condensed aromatic","condensed aromatic",0.8367,0.4,0.33,0.37,15,26,0.5
"12284","C23H23O3N3S2P3",NA,"unsaturated/lignin","unsaturated/lignin",0.4444,-0.1739,1,0.13,4.5,15.5,0.1957
"12285","C17H22O18S1",NA,"unsaturated/lignin","unsaturated/lignin",-0.4286,0.9412,1.29,1.06,-12,7,-0.7059
"12286","C19H18O17N2",NA,"unsaturated/lignin","unsaturated/lignin",0.1765,1.1579,0.95,0.89,-7,12,-0.3684
"12287","C19H34O16N2",NA,"aliphatic","aliphatic+N",-0.6667,0.2105,1.79,0.84,-14,4,-0.7368
"12288","C20H42O9N4S2",NA,"aliphatic","lipid",-0.8947,-0.4,2.1,0.45,-13,2,-0.65
"12289","C28H40O5N2P2",NA,"unsaturated/lignin","unsaturated/lignin",0.2093,-0.8571,1.43,0.18,2,11,0.0714
"12290","C29H36O1N6P2",NA,"unsaturated/lignin","unsaturated/lignin",0.3659,-0.5517,1.24,0.03,7,16,0.2414
"12291","C29H42O8N2",NA,"unsaturated/lignin","unsaturated/lignin",0.1739,-0.6897,1.45,0.28,0,10,0
"12292","C22H38O3N14",NA,"aliphatic","aliphatic+N",-0.6923,0.4545,1.73,0.14,-6,11,-0.2727
"12293","C25H46O9N4",NA,"aliphatic","aliphatic+N",-0.2121,-0.64,1.84,0.36,-8,5,-0.32
"12294","C39H46O2",NA,"unsaturated/lignin","unsaturated/lignin",0.4211,-1.0769,1.18,0.05,15,17,0.3846
"12295","C37H54O3",NA,"unsaturated/lignin","unsaturated/lignin",0.2676,-1.2973,1.46,0.08,8,11,0.2162
"12296","C35H62O4",NA,"aliphatic","aliphatic",0.0909,-1.5429,1.77,0.11,1,5,0.0286
"12297","C18H13O5N1S7",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,0.7778,0.72,0.28,0,13,0
"12298","C17H24O18P1",NA,"unsaturated/lignin","unsaturated/lignin",-0.5,0.7059,1.41,1.06,-12.5,6.5,-0.7353
"12299","C23H33O14N1",NA,"unsaturated/lignin","unsaturated/lignin",0,-0.087,1.43,0.61,-7,8,-0.3043
"12300","C16H35O10N7P2",NA,"aliphatic","lipid",-5,0.375,2.19,0.62,-15,4,-0.9375
"12301","C29H29O8N3",NA,"unsaturated/lignin","unsaturated/lignin",0.4545,-0.1379,1,0.28,6,17,0.2069
"12302","C12H4O7S9",NA,"condensed aromatic","condensed aromatic",3,2.3333,0.33,0.58,-5,11,-0.4167
"12303","C15H4O3N2S9",NA,"condensed aromatic","condensed aromatic",1,1.7333,0.27,0.2,1,15,0.0667
"12304","C11H4O8N2S8",NA,"condensed aromatic","condensed aromatic",1,3.0909,0.36,0.73,-7,11,-0.6364
"12305","C16H4O6S8",NA,"condensed aromatic","condensed aromatic",0.8,1.5,0.25,0.38,1,15,0.0625
"12306","C15H4O5N2S8",NA,"condensed aromatic","condensed aromatic",1,1.8667,0.27,0.33,0,15,0
"12307","C12H8O5N2S9",NA,"condensed aromatic","condensed aromatic",2.3333,2.1667,0.67,0.42,-6,10,-0.5
"12308","C16H4O8S7",NA,"condensed aromatic","condensed aromatic",0.8,1.625,0.25,0.5,0,15,0
"12309","C13H8O8S8",NA,"unsaturated/lignin","unsaturated/lignin",-2,1.8462,0.62,0.62,-6,10,-0.4615
"12310","C16H4O10S6",NA,"condensed aromatic","condensed aromatic",0.8,1.75,0.25,0.62,-1,15,-0.0625
"12311","C15H4O9N2S6",NA,"condensed aromatic","condensed aromatic",1,2.1333,0.27,0.6,-2,15,-0.1333
"12312","C20H4O7S6",NA,"condensed aromatic","condensed aromatic",0.9048,1.1,0.2,0.35,6,19,0.3
"12313","C16H4O12S5",NA,"condensed aromatic","condensed aromatic",0.8,1.875,0.25,0.75,-2,15,-0.125
"12314","C18H12O2S9",NA,"unsaturated/lignin","unsaturated/lignin",0.375,0.5556,0.67,0.11,2,13,0.1111
"12315","C14H12O7S8",NA,"unsaturated/lignin","unsaturated/lignin",-1,1.2857,0.86,0.5,-6,9,-0.4286
"12316","C19H4O6N2S6",NA,"condensed aromatic","condensed aromatic",1,1.3684,0.21,0.32,5,19,0.2632
"12317","C16H8O6N2S7",NA,"unsaturated/lignin","unsaturated/lignin",0.5,1.5,0.5,0.38,-1,14,-0.0625
"12318","C13H8O14S5",NA,"unsaturated/lignin","unsaturated/lignin",-2,2.3077,0.62,1.08,-9,10,-0.6923
"12319","C14H3O15N3S2P1",NA,"condensed aromatic","condensed aromatic",4,2.8571,0.21,1.07,-5.5,15.5,-0.3929
"12320","C18H4O11N2P4",NA,"condensed aromatic","condensed aromatic",1.3077,1.3333,0.22,0.61,3,20,0.1667
"12321","C15H6O13N2S2P2",NA,"condensed aromatic","condensed aromatic",1,2,0.4,0.87,-4,15,-0.2667
"12322","C20H6O11S2P2",NA,"condensed aromatic","condensed aromatic",0.9048,1,0.3,0.55,4,19,0.2
"12323","C12H20O8S8",NA,"aliphatic","aliphatic",-Inf,1,1.67,0.67,-13,3,-1.0833
"12324","C15H6O15N2S1P2",NA,"condensed aromatic","condensed aromatic",1,2.1333,0.4,1,-5,15,-0.3333
"12325","C17H10O13S2P2",NA,"aromatic","aromatic",0.5385,1.1765,0.59,0.76,-3,14,-0.1765
"12326","C19H16O5S7",NA,"unsaturated/lignin","unsaturated/lignin",0.2632,0.4211,0.84,0.26,0,12,0
"12327","C15H16O10S6",NA,"unsaturated/lignin","unsaturated/lignin",-0.75,1.0667,1.07,0.67,-8,8,-0.5333
"12328","C19H6O12N2S1P2",NA,"condensed aromatic","condensed aromatic",1,1.3684,0.32,0.63,2,19,0.1053
"12329","C24H6O10S1P2",NA,"condensed aromatic","condensed aromatic",0.9375,0.6667,0.25,0.42,10,23,0.4167
"12330","C15H16O12S5",NA,"unsaturated/lignin","unsaturated/lignin",-0.75,1.2,1.07,0.8,-9,8,-0.6
"12331","C23H6O9N2S1P2",NA,"condensed aromatic","condensed aromatic",1,0.8696,0.26,0.39,9,23,0.3913
"12332","C18H16O6N2S6",NA,"unsaturated/lignin","unsaturated/lignin",0.1429,0.7778,0.89,0.33,-2,12,-0.1111
"12333","C20H4O19",NA,"condensed aromatic","condensed aromatic",0.9048,1.7,0.2,0.95,0,19,0
"12334","C26H16S3P4",NA,"condensed aromatic","condensed aromatic",0.7368,-0.3846,0.62,0,14,21,0.5385
"12335","C18H14O12S2P2",NA,"unsaturated/lignin","unsaturated/lignin",0.375,0.7778,0.78,0.67,-3,13,-0.1667
"12336","C16H20O9S6",NA,"unsaturated/lignin","unsaturated/lignin",-0.6364,0.625,1.25,0.56,-8,7,-0.5
"12337","C28H7O6N1S2P1",NA,"condensed aromatic","condensed aromatic",0.9286,0.4286,0.25,0.21,16.5,26.5,0.5893
"12338","C19H4O18N2",NA,"condensed aromatic","condensed aromatic",1,2,0.21,0.95,-1,19,-0.0526
"12339","C15H20O8N2S6",NA,"unsaturated/lignin","unsaturated/lignin",-1.6667,0.9333,1.33,0.53,-9,7,-0.6
"12340","C17H14O15N2P2",NA,"unsaturated/lignin","unsaturated/lignin",0.2727,1.2941,0.82,0.88,-6,13,-0.3529
"12341","C22H12O15S1",NA,"aromatic","aromatic",0.6296,0.9091,0.55,0.68,1,17,0.0455
"12342","C18H12O20",NA,"unsaturated/lignin","unsaturated/lignin",0.375,1.5556,0.67,1.11,-7,13,-0.3889
"12343","C19H16O15S2",NA,"unsaturated/lignin","unsaturated/lignin",0.2632,0.9474,0.84,0.79,-5,12,-0.2632
"12344","C15H21O13N1S1P3",NA,"unsaturated/lignin","unsaturated/lignin",-1.1429,0.6667,1.4,0.87,-10.5,7.5,-0.7
"12345","C24H24O7P4",NA,"unsaturated/lignin","unsaturated/lignin",0.4545,-0.4167,1,0.29,4,15,0.1667
"12346","C17H24O16S2",NA,"unsaturated/lignin","unsaturated/lignin",-0.5714,0.7059,1.41,0.94,-12,6,-0.7059
"12347","C27H22O3N2S2P2",NA,"aromatic","aromatic",0.5897,-0.2222,0.81,0.11,10,19,0.3704
"12348","C30H28O8S1",NA,"unsaturated/lignin","unsaturated/lignin",0.48,-0.3333,0.93,0.27,8,17,0.2667
"12349","C23H36O13N2",NA,"aliphatic","aliphatic+N",-0.1034,-0.1739,1.57,0.57,-8,7,-0.3478
"12350","C25H44O7N2S2",NA,"aliphatic","aliphatic+N",-0.1429,-0.8,1.76,0.28,-6,5,-0.24
"12351","C29H40O10",NA,"unsaturated/lignin","unsaturated/lignin",0.2083,-0.6897,1.38,0.34,0,10,0
"12352","C33H40O7",NA,"unsaturated/lignin","unsaturated/lignin",0.3559,-0.7879,1.21,0.21,7,14,0.2121
"12353","C30H44O7S1",NA,"unsaturated/lignin","unsaturated/lignin",0.1765,-0.9333,1.47,0.23,1,9,0.0333
"12354","C25H44O11N2",NA,"aliphatic","aliphatic+N",-0.1429,-0.64,1.76,0.44,-8,5,-0.32
"12355","C12H7O6N1S9",NA,"condensed aromatic","condensed aromatic",3,2.1667,0.58,0.5,-6,10,-0.5
"12356","C17H11O4N1S8",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,0.9412,0.65,0.24,0,13,0
"12357","C15H3O18N1S2",NA,"condensed aromatic","condensed aromatic",1,2.6667,0.2,1.2,-6,15,-0.4
"12358","C22H15O12N1S2",NA,"aromatic","aromatic",0.5385,0.7273,0.68,0.55,1,16,0.0455
"12359","C19H19O18N1",NA,"unsaturated/lignin","unsaturated/lignin",0.1111,1.0526,1,0.95,-8,11,-0.4211
"12360","C32H38O4S1P1",NA,"unsaturated/lignin","unsaturated/lignin",0.375,-0.875,1.19,0.12,8.5,14.5,0.2656
"12361","C9H2O10N4S7",NA,"condensed aromatic","condensed aromatic",0.7143,4.8889,0.22,1.11,-10,11,-1.1111
"12362","C12H6O11S7",NA,"condensed aromatic","condensed aromatic",5,2.5,0.5,0.92,-8,10,-0.6667
"12363","C15H6O5N2S8",NA,"aromatic","aromatic",0.6,1.7333,0.4,0.33,-1,14,-0.0667
"12364","C12H10O5N2S9",NA,"condensed aromatic","condensed aromatic",3,2,0.83,0.42,-7,9,-0.5833
"12365","C17H10O3S9",NA,"unsaturated/lignin","unsaturated/lignin",0.3846,0.8235,0.59,0.18,1,13,0.0588
"12366","C15H6O7N2S7",NA,"aromatic","aromatic",0.6,1.8667,0.4,0.47,-2,14,-0.1333
"12367","C14H3O13N1S2P3",NA,"condensed aromatic","condensed aromatic",2,2.1429,0.21,0.93,-3.5,15.5,-0.25
"12368","C12H10O9N2S7",NA,"condensed aromatic","condensed aromatic",3,2.3333,0.83,0.75,-9,9,-0.75
"12369","C17H10O7S7",NA,"unsaturated/lignin","unsaturated/lignin",0.3846,1.0588,0.59,0.41,-1,13,-0.0588
"12370","C13H10O12S6",NA,"unsaturated/lignin","unsaturated/lignin",-3,2,0.77,0.92,-9,9,-0.6923
"12371","C11H18O9S8",NA,"condensed aromatic","condensed aromatic",6.3333,1.4545,1.64,0.82,-14,3,-1.2727
"12372","C13H14O8N2S7",NA,"unsaturated/lignin","unsaturated/lignin",-Inf,1.6923,1.08,0.62,-9,8,-0.6923
"12373","C16H6O16S3",NA,"aromatic","aromatic",0.6,2,0.38,1,-5,14,-0.3125
"12374","C16H14O2N4S8",NA,"unsaturated/lignin","unsaturated/lignin",-0.3333,1.125,0.88,0.12,-2,12,-0.125
"12375","C18H4O13N2S1P2",NA,"condensed aromatic","condensed aromatic",1.1538,1.6667,0.22,0.72,1,19,0.0556
"12376","C17H14O5N2S7",NA,"unsaturated/lignin","unsaturated/lignin",0.0909,0.9412,0.82,0.29,-2,12,-0.1176
"12377","C20H11O8N1S2P3",NA,"condensed aromatic","condensed aromatic",0.75,0.6,0.55,0.4,3.5,17.5,0.175
"12378","C23H5O12N1S1P1",NA,"condensed aromatic","condensed aromatic",0.9643,1.0435,0.22,0.52,7.5,22.5,0.3261
"12379","C20H6O17S1",NA,"condensed aromatic","condensed aromatic",0.8095,1.5,0.3,0.85,0,18,0
"12380","C20H8O15P2",NA,"condensed aromatic","condensed aromatic",0.8095,1.1,0.4,0.75,1,18,0.05
