"","formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"1","C8H2O5S1",NA,"condensed aromatic","condensed aromatic",1,1.25,0.25,0.62,2,8,0.25
"2","C10H10O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.4667,-0.2,1,0.3,2,6,0.2
"3","C6H13O3N1S1P1",NA,"aliphatic","lipid",-2,-0.3333,2.17,0.5,-4.5,1.5,-0.75
"4","C10H12O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,-0.4,1.2,0.3,1,5,0.1
"5","C6H15O3N1S1P1",NA,"aliphatic","lipid",-2.6667,-0.6667,2.5,0.5,-5.5,0.5,-0.9167
"6","C12H10N2P1",NA,"condensed aromatic","condensed aromatic",0.7222,-0.3333,0.83,0,6.5,9.5,0.5417
"7","C8H13N3P2",NA,"aliphatic","aliphatic+N",0,-0.5,1.62,0,0,5,0
"8","C9H10O4S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,0,1.11,0.44,0,5,0
"9","C5H13O4N1S1P1",NA,"aliphatic","lipid",-Inf,0,2.6,0.8,-6.5,0.5,-1.3
"10","C6H10O1N6S1",NA,"condensed aromatic","condensed aromatic",1.6667,2,1.67,0.17,-3,5,-0.5
"11","C10H14O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2,-0.6,1.4,0.3,0,4,0
"12","C9H22N6",NA,"aliphatic","lipid",-1.3333,-0.4444,2.44,0,-4,2,-0.4444
"13","C8H8O5S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,0.5,1,0.62,-1,5,-0.125
"14","C7H3N7S1",NA,"unsaturated/lignin","unsaturated/lignin",-2,2.8571,0.43,0,2,10,0.2857
"15","C9H15O1N1S2",NA,"aliphatic","aliphatic+N",-0.0909,-0.6667,1.67,0.11,-1,3,-0.1111
"16","C9H7O2N5",NA,"condensed aromatic","condensed aromatic",1,1.3333,0.78,0.22,2,9,0.2222
"17","C13H14O1P1",NA,"aromatic","aromatic",0.5217,-0.9231,1.08,0.08,5.5,7.5,0.4231
"18","C6H2O3S3",NA,"condensed aromatic","condensed aromatic",1,1.6667,0.33,0.5,0,6,0
"19","C5H6N4S3",NA,"condensed aromatic","condensed aromatic",1,2.4,1.2,0,-2,5,-0.4
"20","C9H17O5N1",NA,"aliphatic","aliphatic+N",-0.2727,-0.4444,1.89,0.56,-4,2,-0.4444
"21","C8H21N5S1",NA,"aliphatic","lipid",-2.5,-0.5,2.62,0,-5,1,-0.625
"22","C8H3O3N3P1",NA,"condensed aromatic","condensed aromatic",1.6,1.5,0.38,0.38,2.5,9.5,0.3125
"23","C9H7O2N3P1",NA,"condensed aromatic","condensed aromatic",0.875,0.6667,0.78,0.22,2.5,8.5,0.2778
"24","C15H8S1",NA,"condensed aromatic","condensed aromatic",0.7857,-0.4,0.53,0,11,12,0.7333
"25","C15H24O1",NA,"aliphatic","aliphatic",0.2414,-1.4667,1.6,0.07,3,4,0.2
"26","C9H4O1S1P2",NA,"condensed aromatic","condensed aromatic",1,0,0.44,0.11,5,9,0.5556
"27","C12H14O4",NA,"unsaturated/lignin","unsaturated/lignin",0.4,-0.5,1.17,0.33,2,6,0.1667
"28","C9H18O6",NA,"aliphatic","lipid",-0.3333,-0.6667,2,0.67,-5,1,-0.5556
"29","C9H14O1N6",NA,"aliphatic","aliphatic+N",-0.2,0.6667,1.56,0.11,-1,6,-0.1111
"30","C13H18O3",NA,"unsaturated/lignin","unsaturated/lignin",0.3043,-0.9231,1.38,0.23,2,5,0.1538
"31","C14H22O2",NA,"aliphatic","aliphatic",0.2308,-1.2857,1.57,0.14,2,4,0.1429
"32","C12H17O1N1S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2632,-0.8333,1.42,0.08,2,5,0.1667
"33","C7H12O6S1",NA,"aliphatic","aliphatic",-0.6667,0.2857,1.71,0.86,-5,2,-0.7143
"34","C11H12O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.4118,-0.3636,1.09,0.27,2,6,0.1818
"35","C13H24O1N2",NA,"aliphatic","aliphatic+N",0.0476,-1.2308,1.85,0.08,0,3,0
"36","C4H11O2N5S2",NA,"condensed aromatic","condensed aromatic",1.5,3,2.75,0.5,-7,2,-1.75
"37","C11H15N1S2",NA,"unsaturated/lignin","unsaturated/lignin",0.25,-0.7273,1.36,0,2,5,0.1818
"38","C7H15O5N1S1",NA,"aliphatic","lipid",-1.4,0,2.14,0.71,-6,1,-0.8571
"39","C11H14O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2941,-0.5455,1.27,0.27,1,5,0.0909
"40","C7H17O3N1S1P1",NA,"aliphatic","lipid",-1.6,-0.8571,2.43,0.43,-5.5,0.5,-0.7857
"41","C8H10O4N4",NA,"unsaturated/lignin","unsaturated/lignin",0,1.25,1.25,0.5,-2,6,-0.25
"42","C11H14O5",NA,"unsaturated/lignin","unsaturated/lignin",0.2941,-0.3636,1.27,0.45,0,5,0
"43","C12H18O4",NA,"aliphatic","aliphatic",0.2,-0.8333,1.5,0.33,0,4,0
"44","C12H22O2N2",NA,"aliphatic","aliphatic+N",0,-1,1.83,0.17,-1,3,-0.0833
"45","C14H26O2",NA,"aliphatic","aliphatic",0.0769,-1.5714,1.86,0.14,0,2,0
"46","C14H12O1P1",NA,"aromatic","aromatic",0.64,-0.7143,0.86,0.07,7.5,9.5,0.5357
"47","C12H9O2N3",NA,"condensed aromatic","condensed aromatic",0.75,0.3333,0.75,0.17,5,10,0.4167
"48","C13H12N2P1",NA,"aromatic","aromatic",0.65,-0.4615,0.92,0,6.5,9.5,0.5
"49","C9H15N3P2",NA,"aliphatic","aliphatic+N",0,-0.6667,1.67,0,0,5,0
"50","C9H10O1S1P2",NA,"unsaturated/lignin","unsaturated/lignin",0.4545,-0.6667,1.11,0.11,2,6,0.2222
"51","C6H8O2N6S1",NA,"condensed aromatic","condensed aromatic",1,2.6667,1.33,0.33,-3,6,-0.5
"52","C10H12O4S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2857,-0.2,1.2,0.4,0,5,0
"53","C13H12N2S1",NA,"aromatic","aromatic",0.6,-0.3077,0.92,0,6,9,0.4615
"54","C10H8O1N6",NA,"condensed aromatic","condensed aromatic",1,1.2,0.8,0.1,3,10,0.3
"55","C10H24N6",NA,"aliphatic","lipid",-1,-0.6,2.4,0,-4,2,-0.4
"56","C14H28O2",NA,"aliphatic","lipid",0,-1.7143,2,0.14,-1,1,-0.0714
"57","C8H6S4",NA,"unsaturated/lignin","unsaturated/lignin",0.5,0.25,0.75,0,2,6,0.25
"58","C5H2O1N4S3",NA,"unsaturated/lignin","unsaturated/lignin",0.2,3.6,0.4,0.2,-1,7,-0.2
"59","C6H5O1N3S2P1",NA,"unsaturated/lignin","unsaturated/lignin",0,1.6667,0.83,0.17,-0.5,6.5,-0.0833
"60","C13H10S2",NA,"aromatic","aromatic",0.6364,-0.4615,0.77,0,7,9,0.5385
"61","C9H10O5S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2727,0.2222,1.11,0.56,-1,5,-0.1111
"62","C10H14O4S1",NA,"unsaturated/lignin","unsaturated/lignin",0.1429,-0.4,1.4,0.4,-1,4,-0.1
"63","C12H22O4",NA,"aliphatic","aliphatic",0,-1.1667,1.83,0.33,-2,2,-0.1667
"64","C11H8O2N2P1",NA,"condensed aromatic","condensed aromatic",0.7857,0.1818,0.73,0.18,4.5,9.5,0.4091
"65","C9H20O1N4P1",NA,"aliphatic","lipid",-0.8571,-0.6667,2.22,0.11,-3.5,2.5,-0.3889
"66","C9H21O2N5",NA,"aliphatic","lipid",-1.3333,-0.2222,2.33,0.22,-5,2,-0.5556
"67","C5H4O1N4S3",NA,"aromatic","aromatic",0.6,3.2,0.8,0.2,-2,6,-0.4
"68","C8H2O1N4P2",NA,"condensed aromatic","condensed aromatic",3,1.5,0.25,0.12,4,11,0.5
"69","C9H3O3N3P1",NA,"condensed aromatic","condensed aromatic",1.4286,1.3333,0.33,0.33,3.5,10.5,0.3889
"70","C12H10O1P2",NA,"condensed aromatic","condensed aromatic",0.6842,-0.6667,0.83,0.08,6,9,0.5
"71","C17H12O1",NA,"condensed aromatic","condensed aromatic",0.697,-0.5882,0.71,0.06,11,12,0.6471
"72","C13H16N2S1",NA,"unsaturated/lignin","unsaturated/lignin",0.4,-0.6154,1.23,0,4,7,0.3077
"73","C14H19N1S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,-1,1.36,0,4,6,0.2857
"74","C10H19O5N1",NA,"aliphatic","aliphatic+N",-0.2308,-0.6,1.9,0.5,-4,2,-0.4
"75","C5H6O1N4S3",NA,"condensed aromatic","condensed aromatic",1,2.8,1.2,0.2,-3,5,-0.6
"76","C9H5O3N3P1",NA,"condensed aromatic","condensed aromatic",1.1429,1.1111,0.56,0.33,2.5,9.5,0.2778
"77","C12H10O5",NA,"aromatic","aromatic",0.5789,0,0.83,0.42,3,8,0.25
"78","C10H18O6",NA,"aliphatic","aliphatic",-0.1429,-0.6,1.8,0.6,-4,2,-0.4
"79","C15H22O2",NA,"unsaturated/lignin","unsaturated/lignin",0.2857,-1.2,1.47,0.13,3,5,0.2
"80","C8H3O4N3P1",NA,"condensed aromatic","condensed aromatic",1.75,1.75,0.38,0.5,1.5,9.5,0.1875
"81","C9H6O2N2P2",NA,"condensed aromatic","condensed aromatic",1,0.4444,0.67,0.22,3,9,0.3333
"82","C10H8O5N2",NA,"aromatic","aromatic",0.6364,0.8,0.8,0.5,1,8,0.1
"83","C10H20O6",NA,"aliphatic","lipid",-0.2857,-0.8,2,0.6,-5,1,-0.5
"84","C10H16O1N6",NA,"aliphatic","aliphatic+N",-0.1429,0.4,1.6,0.1,-1,6,-0.1
"85","C14H20O3",NA,"unsaturated/lignin","unsaturated/lignin",0.28,-1,1.43,0.21,2,5,0.1429
"86","C15H24O2",NA,"aliphatic","aliphatic",0.2143,-1.3333,1.6,0.13,2,4,0.1333
"87","C18H7N1",NA,"condensed aromatic","condensed aromatic",0.8824,-0.2222,0.39,0,15,16,0.8333
"88","C8H2O5N2S1",NA,"condensed aromatic","condensed aromatic",1.4,2,0.25,0.62,1,9,0.125
"89","C12H14O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3684,-0.5,1.17,0.25,2,6,0.1667
"90","C13H18O4",NA,"unsaturated/lignin","unsaturated/lignin",0.2727,-0.7692,1.38,0.31,1,5,0.0769
"91","C8H3N1S2P2",NA,"condensed aromatic","condensed aromatic",1.3333,0.5,0.38,0,4,9,0.5
"92","C10H15N3P2",NA,"aliphatic","aliphatic+N",0.2,-0.6,1.5,0,1,6,0.1
"93","C6H16O4N4P1",NA,"condensed aromatic","condensed aromatic",5.5,0.6667,2.67,0.67,-7.5,1.5,-1.25
"94","C7H19O2N3P2",NA,"aliphatic","lipid",-5,-0.8571,2.71,0.29,-6,1,-0.8571
"95","C12H17O2N1S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2222,-0.6667,1.42,0.17,1,5,0.0833
"96","C10H8O3S2",NA,"aromatic","aromatic",0.5385,0.2,0.8,0.3,2,7,0.2
"97","C7H8O2N6S1",NA,"condensed aromatic","condensed aromatic",1,2.2857,1.14,0.29,-2,7,-0.2857
"98","C15H4N4",NA,"condensed aromatic","condensed aromatic",1.0909,0.5333,0.27,0,12,16,0.8
"99","C12H8N4S1",NA,"condensed aromatic","condensed aromatic",0.8571,0.5,0.67,0,6,11,0.5
"100","C10H12O5N2",NA,"unsaturated/lignin","unsaturated/lignin",0.2727,0.4,1.2,0.5,-1,6,-0.1
"101","C7H18O3N2P2",NA,"aliphatic","lipid",-3,-0.8571,2.57,0.43,-6,1,-0.8571
"102","C12H16O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2632,-0.6667,1.33,0.25,1,5,0.0833
"103","C13H20O4",NA,"aliphatic","aliphatic",0.1818,-0.9231,1.54,0.31,0,4,0
"104","C11H24N6",NA,"aliphatic","lipid",-0.6,-0.5455,2.18,0,-3,3,-0.2727
"105","C15H28O2",NA,"aliphatic","aliphatic",0.0714,-1.6,1.87,0.13,0,2,0
"106","C10H11O2N1S2",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,0,1.1,0.2,1,6,0.1
"107","C8H18O4S1P1",NA,"aliphatic","lipid",-0.875,-1,2.25,0.5,-5.5,0.5,-0.6875
"108","C7H11O1N7S1",NA,"condensed aromatic","condensed aromatic",1.6667,2,1.57,0.14,-3,6,-0.4286
"109","C11H15O3N1S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2,-0.3636,1.36,0.27,0,5,0
"110","C10H17N3P2",NA,"aliphatic","aliphatic+N",0,-0.8,1.7,0,0,5,0
"111","C10H19N5S1",NA,"aliphatic","aliphatic+N",-0.5,-0.2,1.9,0,-2,4,-0.2
"112","C7H4O2N2S1P2",NA,"condensed aromatic","condensed aromatic",2,1.1429,0.57,0.29,1,8,0.1429
"113","C5H1O5N5P1",NA,"unsaturated/lignin","unsaturated/lignin",0,4.8,0.2,1,-2.5,8.5,-0.5
"114","C14H10S2",NA,"condensed aromatic","condensed aromatic",0.6667,-0.4286,0.71,0,8,10,0.5714
"115","C10H10O5S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3846,0.2,1,0.5,0,6,0
"116","C7H10O2N6S1",NA,"condensed aromatic","condensed aromatic",2,2,1.43,0.29,-3,6,-0.4286
"117","C11H14O4S1",NA,"unsaturated/lignin","unsaturated/lignin",0.25,-0.3636,1.27,0.36,0,5,0
"118","C8H6N10",NA,"unsaturated/lignin","unsaturated/lignin",-0.5,3,0.75,0,1,11,0.125
"119","C7H17O6N1P1",NA,"aliphatic","lipid",-2.25,-0.2857,2.43,0.86,-7.5,0.5,-1.0714
"120","C12H10O2N4",NA,"condensed aromatic","condensed aromatic",0.7143,0.5,0.83,0.17,4,10,0.3333
"121","C8H13O2N5P1",NA,"aliphatic","aliphatic+N",-1.5,0.75,1.62,0.25,-2.5,5.5,-0.3125
"122","C12H18O3S1",NA,"aliphatic","aliphatic",0.1579,-0.8333,1.5,0.25,0,4,0
"123","C16H18S1",NA,"unsaturated/lignin","unsaturated/lignin",0.4667,-1,1.12,0,7,8,0.4375
"124","C12H21N1S1P1",NA,"aliphatic","aliphatic+N",0.0556,-1.3333,1.75,0,0.5,3.5,0.0417
"125","C13H22O4",NA,"aliphatic","aliphatic",0.0909,-1.0769,1.69,0.31,-1,3,-0.0769
"126","C11H26N6",NA,"aliphatic","lipid",-0.8,-0.7273,2.36,0,-4,2,-0.3636
"127","C15H30O2",NA,"aliphatic","lipid",0,-1.7333,2,0.13,-1,1,-0.0667
"128","C10H14O1P3",NA,"unsaturated/lignin","unsaturated/lignin",0.3077,-1.2,1.4,0.1,1.5,5.5,0.15
"129","C7H8O4N4P1",NA,"unsaturated/lignin","unsaturated/lignin",-Inf,1.7143,1.14,0.57,-2.5,6.5,-0.3571
"130","C11H8O1N4P1",NA,"condensed aromatic","condensed aromatic",0.9091,0.5455,0.73,0.09,4.5,10.5,0.4091
"131","C6H3O2N3S2P1",NA,"unsaturated/lignin","unsaturated/lignin",-0.5,2.3333,0.5,0.33,-0.5,7.5,-0.0833
"132","C10H3O3N3P1",NA,"condensed aromatic","condensed aromatic",1.3333,1.2,0.3,0.3,4.5,11.5,0.45
"133","C13H10O1P2",NA,"condensed aromatic","condensed aromatic",0.7143,-0.6154,0.77,0.08,7,10,0.5385
"134","C14H12S2",NA,"aromatic","aromatic",0.5833,-0.5714,0.86,0,7,9,0.5
"135","C10H15N1S2P1",NA,"aliphatic","aliphatic+N",0.0833,-0.8,1.5,0,0.5,4.5,0.05
"136","C10H12O5S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2308,0,1.2,0.5,-1,5,-0.1
"137","C6H15O5N1S1P1",NA,"aliphatic","lipid",-10,0,2.5,0.83,-7.5,0.5,-1.25
"138","C11H16O6",NA,"unsaturated/lignin","unsaturated/lignin",0.125,-0.3636,1.45,0.55,-2,4,-0.1818
"139","C12H20O5",NA,"aliphatic","aliphatic",0.0526,-0.8333,1.67,0.42,-2,3,-0.1667
"140","C13H24O4",NA,"aliphatic","aliphatic",0,-1.2308,1.85,0.31,-2,2,-0.1538
"141","C9H13O3N1P2",NA,"unsaturated/lignin","unsaturated/lignin",0.1111,-0.4444,1.44,0.33,-1,5,-0.1111
"142","C10H14O3S1P1",NA,"unsaturated/lignin","unsaturated/lignin",0.1538,-0.6,1.4,0.3,-0.5,4.5,-0.05
"143","C10H16O1P3",NA,"aliphatic","aliphatic",0.1538,-1.4,1.6,0.1,0.5,4.5,0.05
"144","C11H7O4N3",NA,"condensed aromatic","condensed aromatic",0.8333,0.9091,0.64,0.36,3,10,0.2727
"145","C7H10O4N4P1",NA,"unsaturated/lignin","unsaturated/lignin",-Inf,1.4286,1.43,0.57,-3.5,5.5,-0.5
"146","C9H7N7S1",NA,"condensed aromatic","condensed aromatic",2,1.7778,0.78,0,2,10,0.2222
"147","C6H6O1N4S3",NA,"condensed aromatic","condensed aromatic",1,2.3333,1,0.17,-2,6,-0.3333
"148","C7H8O4N2P2",NA,"unsaturated/lignin","unsaturated/lignin",0,0.8571,1.14,0.57,-2,6,-0.2857
"149","C13H12O1P2",NA,"aromatic","aromatic",0.619,-0.7692,0.92,0.08,6,9,0.4615
"150","C10H6O4N4",NA,"condensed aromatic","condensed aromatic",1,1.4,0.6,0.4,2,10,0.2
"151","C16H9N1P1",NA,"condensed aromatic","condensed aromatic",0.8214,-0.375,0.56,0,11.5,13.5,0.7188
"152","C9H16O2N2P2",NA,"aliphatic","aliphatic+N",-0.25,-0.6667,1.78,0.22,-2,4,-0.2222
"153","C12H22O5",NA,"aliphatic","aliphatic",-0.0526,-1,1.83,0.42,-3,2,-0.25
"154","C17H26O1",NA,"aliphatic","aliphatic",0.2727,-1.4118,1.53,0.06,4,5,0.2353
"155","C7H5O3N1S3",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,1.4286,0.71,0.43,-1,6,-0.1429
"156","C14H5O2N3",NA,"condensed aromatic","condensed aromatic",1,0.5714,0.36,0.14,9,14,0.6429
"157","C5H3O5N3S1P1",NA,"unsaturated/lignin","unsaturated/lignin",0.4,3.6,0.6,1,-3.5,6.5,-0.7
"158","C9H3O4N3P1",NA,"condensed aromatic","condensed aromatic",1.5,1.5556,0.33,0.44,2.5,10.5,0.2778
"159","C11H8O1N2S2",NA,"condensed aromatic","condensed aromatic",0.6923,0.3636,0.73,0.09,4,9,0.3636
"160","C11H8O3N2S1",NA,"condensed aromatic","condensed aromatic",0.6923,0.5455,0.73,0.27,3,9,0.2727
"161","C15H20O3",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,-0.9333,1.33,0.2,3,6,0.2
"162","C9H15O7N1",NA,"aliphatic","aliphatic+N",-0.3333,0.2222,1.67,0.78,-5,3,-0.5556
"163","C10H21N1S1P2",NA,"aliphatic","lipid",-0.3333,-1.6,2.1,0,-2,2,-0.2
"164","C9H19O1N3S2",NA,"aliphatic","lipid",-1,-0.4444,2.11,0.11,-4,2,-0.4444
"165","C10H15O1N7",NA,"aliphatic","aliphatic+N",-0.2,0.8,1.5,0.1,-1,7,-0.1
"166","C7H6S5",NA,"unsaturated/lignin","unsaturated/lignin",0,0.5714,0.86,0,0,5,0
"167","C10H5O1N1S2P1",NA,"condensed aromatic","condensed aromatic",0.9091,0.4,0.5,0.1,4.5,9.5,0.45
"168","C9H5O4N3P1",NA,"condensed aromatic","condensed aromatic",1.1667,1.3333,0.56,0.44,1.5,9.5,0.1667
"169","C10H18O5S1",NA,"aliphatic","aliphatic",-0.2308,-0.6,1.8,0.5,-4,2,-0.4
"170","C14H18O4",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,-0.7143,1.29,0.29,2,6,0.1429
"171","C9H22N4S2",NA,"aliphatic","lipid",-1.6667,-0.6667,2.44,0,-5,1,-0.5556
"172","C11H18O1N6",NA,"aliphatic","aliphatic+N",-0.1111,0.1818,1.64,0.09,-1,6,-0.0909
"173","C15H22O3",NA,"unsaturated/lignin","unsaturated/lignin",0.2593,-1.0667,1.47,0.2,2,5,0.1333
"174","C16H26O2",NA,"aliphatic","aliphatic",0.2,-1.375,1.62,0.12,2,4,0.125
"175","C14H21O3N1",NA,"aliphatic","aliphatic+N",0.2174,-0.8571,1.5,0.21,1,5,0.0714
"176","C10H4O6S1",NA,"condensed aromatic","condensed aromatic",0.8333,1,0.4,0.6,2,9,0.2
"177","C15H8S2",NA,"condensed aromatic","condensed aromatic",0.7692,-0.2667,0.53,0,10,12,0.6667
"178","C8H12O7S1",NA,"aliphatic","aliphatic",-0.4286,0.5,1.5,0.88,-5,3,-0.625
"179","C9H16O4S2",NA,"aliphatic","aliphatic",-0.4,-0.4444,1.78,0.44,-4,2,-0.4444
"180","C13H16O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,-0.6154,1.23,0.23,2,6,0.1538
"181","C17H16S1",NA,"aromatic","aromatic",0.5625,-0.8235,0.94,0,9,10,0.5294
"182","C13H16O5",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,-0.4615,1.23,0.38,1,6,0.0769
"183","C10H20O5S1",NA,"aliphatic","lipid",-0.3846,-0.8,2,0.5,-5,1,-0.5
"184","C14H20O2S1",NA,"unsaturated/lignin","unsaturated/lignin",0.25,-1,1.43,0.14,2,5,0.1429
"185","C10H20O7",NA,"aliphatic","lipid",-0.3846,-0.6,2,0.7,-6,1,-0.6
"186","C10H16O2N6",NA,"aliphatic","aliphatic+N",-0.3333,0.6,1.6,0.2,-2,6,-0.2
"187","C14H20O4",NA,"unsaturated/lignin","unsaturated/lignin",0.25,-0.8571,1.43,0.29,1,5,0.0714
"188","C15H24O3",NA,"aliphatic","aliphatic",0.1852,-1.2,1.6,0.2,1,4,0.0667
"189","C7H2O5N4P1",NA,"unsaturated/lignin","unsaturated/lignin",-4,2.8571,0.29,0.71,-0.5,9.5,-0.0714
"190","C11H17N3P2",NA,"aliphatic","aliphatic+N",0.1667,-0.7273,1.55,0,1,6,0.0909
"191","C12H15O5N1",NA,"unsaturated/lignin","unsaturated/lignin",0.2941,-0.1667,1.25,0.42,0,6,0
"192","C6H6O5S3",NA,"unsaturated/lignin","unsaturated/lignin",-3,1.6667,1,0.83,-4,4,-0.6667
"193","C7H12S3P2",NA,"aliphatic","aliphatic",-1,-0.8571,1.71,0,-2,3,-0.2857
"194","C15H10S2",NA,"condensed aromatic","condensed aromatic",0.6923,-0.4,0.67,0,9,11,0.6
"195","C12H14O4S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,-0.3333,1.17,0.33,1,6,0.0833
"196","C12H14O6",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,-0.1667,1.17,0.5,0,6,0
"197","C8H20O3N2P2",NA,"aliphatic","lipid",-1.8,-1,2.5,0.38,-6,1,-0.75
"198","C13H18O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2381,-0.7692,1.38,0.23,1,5,0.0769
"199","C13H20O1P2",NA,"aliphatic","aliphatic",0.2381,-1.3846,1.54,0.08,2,5,0.1538
"200","C17H18S1",NA,"unsaturated/lignin","unsaturated/lignin",0.5,-0.9412,1.06,0,8,9,0.4706
"201","C13H18O5",NA,"unsaturated/lignin","unsaturated/lignin",0.2381,-0.6154,1.38,0.38,0,5,0
"202","C14H22O4",NA,"aliphatic","aliphatic",0.1667,-1,1.57,0.29,0,4,0
"203","C15H26O3",NA,"aliphatic","aliphatic",0.1111,-1.3333,1.73,0.2,0,3,0
"204","C12H26N6",NA,"aliphatic","lipid",-0.5,-0.6667,2.17,0,-3,3,-0.25
"205","C16H30O2",NA,"aliphatic","aliphatic",0.0667,-1.625,1.88,0.12,0,2,0
"206","C9H9O4N3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,1.1111,1,0.44,-1,7,-0.1111
"207","C8H3O5N1S1P1",NA,"condensed aromatic","condensed aromatic",1.2,1.5,0.38,0.62,0.5,8.5,0.0625
"208","C10H8S4",NA,"unsaturated/lignin","unsaturated/lignin",0.5,0,0.8,0,3,7,0.3
"209","C7H3O4N3S1P1",NA,"condensed aromatic","condensed aromatic",Inf,2.2857,0.43,0.57,-0.5,8.5,-0.0714
"210","C10H11O5N1P1",NA,"unsaturated/lignin","unsaturated/lignin",0.3636,0.2,1.1,0.5,-0.5,6.5,-0.05
"211","C15H12S2",NA,"aromatic","aromatic",0.6154,-0.5333,0.8,0,8,10,0.5333
"212","C11H12O5S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,0,1.09,0.45,0,6,0
"213","C7H18O4N2P2",NA,"aliphatic","lipid",-5,-0.5714,2.57,0.57,-7,1,-1
"214","C12H16O4S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2222,-0.5,1.33,0.33,0,5,0
"215","C13H20O1S2",NA,"aliphatic","aliphatic",0.1429,-1.0769,1.54,0.08,1,4,0.0769
"216","C13H20O3S1",NA,"aliphatic","aliphatic",0.1429,-0.9231,1.54,0.23,0,4,0
"217","C13H20O5",NA,"aliphatic","aliphatic",0.1429,-0.7692,1.54,0.38,-1,4,-0.0769
"218","C14H24O4",NA,"aliphatic","aliphatic",0.0833,-1.1429,1.71,0.29,-1,3,-0.0714
"219","C15H28O3",NA,"aliphatic","aliphatic",0.037,-1.4667,1.87,0.2,-1,2,-0.0667
"220","C12H28N6",NA,"aliphatic","lipid",-0.6667,-0.8333,2.33,0,-4,2,-0.3333
"221","C16H32O2",NA,"aliphatic","lipid",0,-1.75,2,0.12,-1,1,-0.0625
"222","C8H2O4S2P1",NA,"condensed aromatic","condensed aromatic",1.1667,1.25,0.25,0.5,1.5,8.5,0.1875
"223","C9H13O2N3P2",NA,"unsaturated/lignin","unsaturated/lignin",0,0,1.44,0.22,-1,6,-0.1111
"224","C11H17N1S1P2",NA,"aliphatic","aliphatic+N",0.1429,-1.0909,1.55,0,1,5,0.0909
"225","C10H14O4N2P1",NA,"unsaturated/lignin","unsaturated/lignin",0.1,0,1.4,0.4,-1.5,5.5,-0.15
"226","C7H11O2N7S1",NA,"condensed aromatic","condensed aromatic",1.5,2.2857,1.57,0.29,-4,6,-0.5714
"227","C11H15O4N1S1",NA,"unsaturated/lignin","unsaturated/lignin",0.1429,-0.1818,1.36,0.36,-1,5,-0.0909
"228","C6H2O2N4S3",NA,"unsaturated/lignin","unsaturated/lignin",0,3.3333,0.33,0.33,-1,8,-0.1667
"229","C8H6N2S4",NA,"unsaturated/lignin","unsaturated/lignin",0.5,1,0.75,0,1,7,0.125
"230","C11H4N2S1P2",NA,"condensed aromatic","condensed aromatic",1.1667,0.3636,0.36,0,7,12,0.6364
"231","C10H2O5N4",NA,"condensed aromatic","condensed aromatic",1.5714,2,0.2,0.5,3,12,0.3
"232","C14H12O1P2",NA,"aromatic","aromatic",0.6522,-0.7143,0.86,0.07,7,10,0.5
"233","C10H16N2S1P2",NA,"aliphatic","aliphatic+N",0,-0.8,1.6,0,0,5,0
"234","C15H14S2",NA,"aromatic","aromatic",0.5385,-0.6667,0.93,0,7,9,0.4667
"235","C15H6O1N4",NA,"condensed aromatic","condensed aromatic",1,0.5333,0.4,0.07,10,15,0.6667
"236","C11H14O5S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2,-0.1818,1.27,0.45,-1,5,-0.0909
"237","C7H17O5N1S1P1",NA,"aliphatic","lipid",-3.3333,-0.2857,2.43,0.71,-7.5,0.5,-1.0714
"238","C12H10O1N4S1",NA,"condensed aromatic","condensed aromatic",0.6923,0.5,0.83,0.08,4,10,0.3333
"239","C15H16P2",NA,"aromatic","aromatic",0.5385,-1.0667,1.07,0,7,9,0.4667
