"formula","presence","PoreWater_ID","site","depth","Suction_kPa","n"
"C14H28O2",1,"28D","PT","60-90",50,2
"C14H28O2",1,"33A","PT","210-240",1.5,1
"C14H28O2",1,"15D","PT","120-150",50,3
"C14H28O2",1,"23D","PT","120-150",50,3
"C14H28O2",1,"8A","DMT","30-60",1.5,2
"C14H28O2",1,"36D","PT","60-90",50,2
"C14H28O2",1,"24D","PT","150-180",50,2
"C14H28O2",1,"39D","PT","150-180",50,2
"C14H28O2",1,"52B","GS","30-60",3,2
"C14H28O2",1,"22A","PT","90-120",1.5,2
"C14H28O2",1,"36A","PT","60-90",1.5,3
"C14H28O2",1,"5A","DMT","30-60",1.5,2
"C14H28O2",1,"29A","PT","90-120",1.5,2
"C5H2O1N4S3",1,"13B","PT","60-90",3,3
"C5H2O1N4S3",1,"14B","PT","90-120",3,4
"C5H2O1N4S3",1,"2B","DMT","30-60",3,1
"C5H2O1N4S3",1,"15C","PT","120-150",15,2
"C5H2O1N4S3",1,"26D","PT","0-30",50,2
"C5H2O1N4S3",1,"28C","PT","60-90",15,2
"C5H2O1N4S3",1,"29D","PT","90-120",50,2
"C5H2O1N4S3",1,"21C","PT","60-90",15,2
"C5H2O1N4S3",1,"19D","PT","0-30",50,2
"C5H2O1N4S3",1,"30B","PT","120-150",3,4
"C5H2O1N4S3",1,"21B","PT","60-90",3,3
"C5H2O1N4S3",1,"23B","PT","120-150",3,4
"C5H2O1N4S3",1,"2D","DMT","30-60",50,2
"C5H2O1N4S3",1,"8D","DMT","30-60",50,2
"C5H2O1N4S3",1,"22B","PT","90-120",3,4
"C5H2O1N4S3",1,"23C","PT","120-150",15,2
"C5H2O1N4S3",1,"37B","PT","90-120",3,4
"C5H2O1N4S3",1,"38B2","PT","120-150",3,4
"C5H2O1N4S3",1,"22A","PT","90-120",1.5,2
"C5H2O1N4S3",1,"38B","PT","120-150",3,4
"C5H2O1N4S3",1,"28B2","PT","60-90",3,3
"C5H2O1N4S3",1,"29B2","PT","90-120",3,4
"C5H2O1N4S3",1,"14D","PT","90-120",50,2
"C5H2O1N4S3",1,"29A","PT","90-120",1.5,2
"C9H10O5S1",1,"42B","GS","0-30",3,2
"C9H10O5S1",1,"25B","PT","180-210",3,2
"C9H10O5S1",1,"19D","PT","0-30",50,2
"C9H10O5S1",1,"8A","DMT","30-60",1.5,2
"C9H10O5S1",1,"45B","GS","0-30",3,2
"C9H10O5S1",1,"34C","PT","0-30",15,3
"C9H10O5S1",1,"34D","PT","0-30",50,2
"C9H10O5S1",1,"1C","DMT","0-30",15,1
"C9H10O5S1",1,"49D","GS","30-60",50,1
"C9H10O5S1",1,"32D","PT","180-210",50,2
"C9H10O5S1",1,"1B","DMT","0-30",3,1
"C9H10O5S1",1,"32B","PT","180-210",3,2
"C9H10O5S1",1,"25D","PT","180-210",50,2
"C9H10O5S1",1,"26C","PT","0-30",15,3
"C9H10O5S1",1,"2C","DMT","30-60",15,1
"C9H10O5S1",1,"5A","DMT","30-60",1.5,2
"C9H10O5S1",1,"11C","PT","0-30",15,3
"C12H22O4",1,"26D","PT","0-30",50,2
"C12H22O4",1,"19D","PT","0-30",50,2
"C12H22O4",1,"2D","DMT","30-60",50,2
"C12H22O4",1,"8D","DMT","30-60",50,2
"C11H8O2N2P1",1,"50B","GS","60-90",3,2
"C11H8O2N2P1",1,"47B","GS","60-90",3,2
"C9H20O1N4P1",1,"6A","DMT","60-90",1.5,1
"C15H22O2",1,"17A","PT","180-210",1.5,2
"C15H22O2",1,"25A","PT","180-210",1.5,2
"C15H22O2",1,"33A","PT","210-240",1.5,1
"C15H22O2",1,"29D","PT","90-120",50,2
"C15H22O2",1,"2D","DMT","30-60",50,2
"C15H22O2",1,"8D","DMT","30-60",50,2
"C15H22O2",1,"14D","PT","90-120",50,2
"C8H3O4N3P1",1,"28C","PT","60-90",15,2
"C8H3O4N3P1",1,"21C","PT","60-90",15,2
"C14H20O3",1,"26D","PT","0-30",50,2
"C14H20O3",1,"19D","PT","0-30",50,2
"C14H20O3",1,"2D","DMT","30-60",50,2
"C14H20O3",1,"8D","DMT","30-60",50,2
"C12H17O2N1S1",1,"26D","PT","0-30",50,2
"C12H17O2N1S1",1,"19D","PT","0-30",50,2
"C10H8O3S2",1,"1C","DMT","0-30",15,1
"C10H8O3S2",1,"1B","DMT","0-30",3,1
"C12H16O3S1",1,"11B","PT","0-30",3,3
"C12H16O3S1",1,"26D","PT","0-30",50,2
"C12H16O3S1",1,"50B","GS","60-90",3,2
"C12H16O3S1",1,"19D","PT","0-30",50,2
"C12H16O3S1",1,"19B","PT","0-30",3,3
"C12H16O3S1",1,"46A","GS","30-60",1.5,2
"C12H16O3S1",1,"47B","GS","60-90",3,2
"C12H16O3S1",1,"2D","DMT","30-60",50,2
"C12H16O3S1",1,"8D","DMT","30-60",50,2
"C12H16O3S1",1,"34B","PT","0-30",3,3
"C12H16O3S1",1,"52A","GS","30-60",1.5,2
"C13H20O4",1,"2B","DMT","30-60",3,1
"C13H20O4",1,"2D","DMT","30-60",50,2
"C13H20O4",1,"8D","DMT","30-60",50,2
"C11H15O3N1S1",1,"26D","PT","0-30",50,2
"C11H15O3N1S1",1,"50B","GS","60-90",3,3
"C11H15O3N1S1",1,"25B","PT","180-210",3,2
"C11H15O3N1S1",1,"19D","PT","0-30",50,2
"C11H15O3N1S1",1,"47B","GS","60-90",3,3
"C11H15O3N1S1",1,"8D","DMT","30-60",50,2
"C11H15O3N1S1",1,"41D","PT","210-240",50,2
"C11H15O3N1S1",1,"33D","PT","210-240",50,2
"C11H15O3N1S1",1,"49D","GS","30-60",50,1
"C11H15O3N1S1",1,"32B","PT","180-210",3,2
"C11H15O3N1S1",1,"35C","PT","30-60",15,2
"C11H15O3N1S1",1,"53B","GS","60-90",3,3
"C11H15O3N1S1",1,"20C","PT","30-60",15,2
"C11H15O3N1S1",1,"10D","DMT","30-60",50,2
"C10H10O5S1",1,"45A","GS","0-30",1.5,3
"C10H10O5S1",1,"15A","PT","120-150",1.5,3
"C10H10O5S1",1,"29C","PT","90-120",15,3
"C10H10O5S1",1,"13B","PT","60-90",3,3
"C10H10O5S1",1,"11B","PT","0-30",3,3
"C10H10O5S1",1,"12D","PT","30-60",50,3
"C10H10O5S1",1,"42A","GS","0-30",1.5,3
"C10H10O5S1",1,"12A","PT","30-60",1.5,3
