"formula","presence","PoreWater_ID","site","depth","Suction_kPa","n"
"C8H22O7N6",1,"28C","PT","60-90",15,3
"C8H22O7N6",1,"15D","PT","120-150",50,3
"C8H22O7N6",1,"42B","GS","0-30",3,2
"C8H22O7N6",1,"25B","PT","180-210",3,2
"C8H22O7N6",1,"21C","PT","60-90",15,3
"C8H22O7N6",1,"19D","PT","0-30",50,3
"C8H22O7N6",1,"23D","PT","120-150",50,3
"C8H22O7N6",1,"22C","PT","90-120",15,3
"C8H22O7N6",1,"19B","PT","0-30",3,3
"C8H22O7N6",1,"21B","PT","60-90",3,3
"C8H22O7N6",1,"46A","GS","30-60",1.5,2
"C8H22O7N6",1,"47B","GS","60-90",3,2
"C8H22O7N6",1,"2D","DMT","30-60",50,3
"C8H22O7N6",1,"37C","PT","90-120",15,3
"C8H22O7N6",1,"8D","DMT","30-60",50,3
"C8H22O7N6",1,"8A","DMT","30-60",1.5,2
"C8H22O7N6",1,"19A2","PT","0-30",1.5,4
"C8H22O7N6",1,"45B","GS","0-30",3,2
"C8H22O7N6",1,"36D","PT","60-90",50,2
"C8H22O7N6",1,"24C","PT","150-180",15,3
"C8H22O7N6",1,"34C","PT","0-30",15,3
"C8H22O7N6",1,"24D","PT","150-180",50,2
"C8H22O7N6",1,"36B","PT","60-90",3,3
"C8H22O7N6",1,"45A2","GS","0-30",1.5,3
"C8H22O7N6",1,"34D","PT","0-30",50,3
"C8H22O7N6",1,"30C","PT","120-150",15,3
"C8H22O7N6",1,"34B","PT","0-30",3,3
"C8H22O7N6",1,"52C","GS","30-60",15,2
"C8H22O7N6",1,"1C","DMT","0-30",15,1
"C8H22O7N6",1,"46C","GS","30-60",15,2
"C8H22O7N6",1,"1B","DMT","0-30",3,1
"C8H22O7N6",1,"32B","PT","180-210",3,2
"C8H22O7N6",1,"26C","PT","0-30",15,3
"C8H22O7N6",1,"30A","PT","120-150",1.5,3
"C8H22O7N6",1,"34A","PT","0-30",1.5,4
"C8H22O7N6",1,"22B","PT","90-120",3,3
"C8H22O7N6",1,"23C","PT","120-150",15,3
"C8H22O7N6",1,"37B","PT","90-120",3,3
"C8H22O7N6",1,"22A","PT","90-120",1.5,2
"C8H22O7N6",1,"1A","DMT","0-30",1.5,2
"C8H22O7N6",1,"52A","GS","30-60",1.5,2
"C8H22O7N6",1,"10D","DMT","30-60",50,3
"C8H22O7N6",1,"23A","PT","120-150",1.5,3
"C8H22O7N6",1,"37A","PT","90-120",1.5,2
"C8H22O7N6",1,"26A","PT","0-30",1.5,4
"C8H22O7N6",1,"2C","DMT","30-60",15,1
"C8H22O7N6",1,"16D","PT","150-180",50,2
"C8H22O7N6",1,"5A","DMT","30-60",1.5,2
"C8H22O7N6",1,"14C","PT","90-120",15,3
"C8H22O7N6",1,"43B","GS","30-60",3,2
"C8H22O7N6",1,"16C","PT","150-180",15,3
"C8H22O7N6",1,"13C","PT","60-90",15,3
"C8H22O7N6",1,"11C","PT","0-30",15,3
"C15H29N3S1P1",1,"17A","PT","180-210",1.5,2
"C15H29N3S1P1",1,"25A","PT","180-210",1.5,2
"C15H29N3S1P1",1,"42A","GS","0-30",1.5,3
"C15H29N3S1P1",1,"2B","DMT","30-60",3,1
"C15H29N3S1P1",1,"30D","PT","120-150",50,3
"C15H29N3S1P1",1,"15D","PT","120-150",50,3
"C15H29N3S1P1",1,"23D","PT","120-150",50,3
"C15H29N3S1P1",1,"22C","PT","90-120",15,3
"C15H29N3S1P1",1,"37C","PT","90-120",15,3
"C15H29N3S1P1",1,"45A2","GS","0-30",1.5,3
"C15H29N3S1P1",1,"32D","PT","180-210",50,2
"C15H29N3S1P1",1,"25D","PT","180-210",50,2
"C15H29N3S1P1",1,"51A","GS","0-30",1.5,3
"C15H29N3S1P1",1,"14C","PT","90-120",15,3
"C13H17O2N1S3",1,"33A","PT","210-240",1.5,1
"C16H17O4N3",1,"46B","GS","30-60",3,3
"C16H17O4N3",1,"45A","GS","0-30",1.5,3
"C16H17O4N3",1,"13B","PT","60-90",3,3
"C16H17O4N3",1,"11B","PT","0-30",3,3
"C16H17O4N3",1,"42A","GS","0-30",1.5,3
"C16H17O4N3",1,"26D","PT","0-30",50,3
"C16H17O4N3",1,"50B","GS","60-90",3,2
"C16H17O4N3",1,"42B","GS","0-30",3,2
"C16H17O4N3",1,"25B","PT","180-210",3,2
"C16H17O4N3",1,"19D","PT","0-30",50,3
"C16H17O4N3",1,"19B","PT","0-30",3,3
"C16H17O4N3",1,"21B","PT","60-90",3,3
"C16H17O4N3",1,"47B","GS","60-90",3,2
"C16H17O4N3",1,"2D","DMT","30-60",50,3
"C16H17O4N3",1,"8D","DMT","30-60",50,3
"C16H17O4N3",1,"8A","DMT","30-60",1.5,2
"C16H17O4N3",1,"45B","GS","0-30",3,2
"C16H17O4N3",1,"34C","PT","0-30",15,3
"C16H17O4N3",1,"24D","PT","150-180",50,2
"C16H17O4N3",1,"36B","PT","60-90",3,3
"C16H17O4N3",1,"45A2","GS","0-30",1.5,3
"C16H17O4N3",1,"34D","PT","0-30",50,3
"C16H17O4N3",1,"30C","PT","120-150",15,2
"C16H17O4N3",1,"34B","PT","0-30",3,3
"C16H17O4N3",1,"52C","GS","30-60",15,2
"C16H17O4N3",1,"1C","DMT","0-30",15,1
"C16H17O4N3",1,"49D","GS","30-60",50,1
"C16H17O4N3",1,"32D","PT","180-210",50,2
"C16H17O4N3",1,"46C","GS","30-60",15,2
"C16H17O4N3",1,"1B","DMT","0-30",3,1
"C16H17O4N3",1,"32B","PT","180-210",3,2
"C16H17O4N3",1,"25D","PT","180-210",50,2
"C16H17O4N3",1,"26C","PT","0-30",15,3
"C16H17O4N3",1,"23C","PT","120-150",15,2
"C16H17O4N3",1,"52B","GS","30-60",3,3
"C16H17O4N3",1,"10D","DMT","30-60",50,3
"C16H17O4N3",1,"2C","DMT","30-60",15,1
"C16H17O4N3",1,"16D","PT","150-180",50,2
"C16H17O4N3",1,"5A","DMT","30-60",1.5,2
"C16H17O4N3",1,"43B","GS","30-60",3,3
"C16H17O4N3",1,"11C","PT","0-30",15,3
"C16H28O2S1P1",1,"52A","GS","30-60",1.5,2
"C16H28O2S1P1",1,"49A","GS","30-60",1.5,2
"C16H28O4P1",1,"50B","GS","60-90",3,2
"C16H28O4P1",1,"47B","GS","60-90",3,2
"C16H28O4P1",1,"2D","DMT","30-60",50,2
"C16H28O4P1",1,"8D","DMT","30-60",50,2
"C12H14S3P2",1,"29C","PT","90-120",15,3
"C12H14S3P2",1,"15C","PT","120-150",15,2
"C12H14S3P2",1,"12B","PT","30-60",3,3
"C12H14S3P2",1,"28C","PT","60-90",15,2
"C12H14S3P2",1,"21C","PT","60-90",15,2
"C12H14S3P2",1,"22C","PT","90-120",15,3
"C12H14S3P2",1,"30B","PT","120-150",3,4
"C12H14S3P2",1,"20B","PT","30-60",3,3
"C12H14S3P2",1,"23B","PT","120-150",3,4
"C12H14S3P2",1,"2D","DMT","30-60",50,2
"C12H14S3P2",1,"37C","PT","90-120",15,3
"C12H14S3P2",1,"8D","DMT","30-60",50,2
"C12H14S3P2",1,"33D","PT","210-240",50,2
"C12H14S3P2",1,"23C","PT","120-150",15,2
"C12H14S3P2",1,"38B2","PT","120-150",3,4
"C12H14S3P2",1,"38B","PT","120-150",3,4
"C12H14S3P2",1,"18D","PT","210-240",50,2
"C12H14S3P2",1,"27B2","PT","30-60",3,3
"C9H16O2S5",1,"28C","PT","60-90",15,2
"C9H16O2S5",1,"1C","DMT","0-30",15,1
"C9H16O2S5",1,"1B","DMT","0-30",3,1
"C9H16O2S5",1,"13C","PT","60-90",15,2
"C13H16O7S1",1,"26D","PT","0-30",50,2
"C13H16O7S1",1,"50B","GS","60-90",3,2
"C13H16O7S1",1,"47B","GS","60-90",3,2
"C13H16O7S1",1,"34C","PT","0-30",15,2
"C13H16O7S1",1,"34D","PT","0-30",50,2
"C13H16O7S1",1,"1C","DMT","0-30",15,1
"C13H16O7S1",1,"6A","DMT","60-90",1.5,1
"C13H16O7S1",1,"2C","DMT","30-60",15,1
"C13H16O7S1",1,"11C","PT","0-30",15,2
"C11H20O1N6S2",1,"25B","PT","180-210",3,2
"C11H20O1N6S2",1,"19D","PT","0-30",50,2
"C11H20O1N6S2",1,"34D","PT","0-30",50,2
"C11H20O1N6S2",1,"1C","DMT","0-30",15,1
"C11H20O1N6S2",1,"49D","GS","30-60",50,1
"C11H20O1N6S2",1,"32D","PT","180-210",50,2
"C11H20O1N6S2",1,"1B","DMT","0-30",3,1
"C11H20O1N6S2",1,"32B","PT","180-210",3,2
"C11H20O1N6S2",1,"25D","PT","180-210",50,2
"C11H20O1N6S2",1,"26C","PT","0-30",15,2
"C11H20O1N6S2",1,"11C","PT","0-30",15,2
"C18H36O4",1,"49D","GS","30-60",50,1
"C10H22O5S2P1",1,"25B","PT","180-210",3,2
"C10H22O5S2P1",1,"49D","GS","30-60",50,1
"C10H22O5S2P1",1,"1B","DMT","0-30",3,1
"C10H22O5S2P1",1,"32B","PT","180-210",3,2
"C15H15O5N3",1,"25B","PT","180-210",3,2
"C15H15O5N3",1,"1B","DMT","0-30",3,1
"C15H15O5N3",1,"32B","PT","180-210",3,2
"C15H15O5N3",1,"26C","PT","0-30",15,2
"C15H15O5N3",1,"11C","PT","0-30",15,2
"C17H34O1S1P1",1,"28C","PT","60-90",15,2
"C17H34O1S1P1",1,"21C","PT","60-90",15,2
"C13H4O4S1P2",1,"2C","DMT","30-60",15,1
"C17H5O2N1S1P1",1,"11B","PT","0-30",3,3
"C17H5O2N1S1P1",1,"26D","PT","0-30",50,2
"C17H5O2N1S1P1",1,"50B","GS","60-90",3,2
"C17H5O2N1S1P1",1,"25B","PT","180-210",3,2
"C17H5O2N1S1P1",1,"19D","PT","0-30",50,2
"C17H5O2N1S1P1",1,"19B","PT","0-30",3,3
"C17H5O2N1S1P1",1,"47B","GS","60-90",3,2
"C17H5O2N1S1P1",1,"2D","DMT","30-60",50,3
"C17H5O2N1S1P1",1,"8D","DMT","30-60",50,3
"C17H5O2N1S1P1",1,"34C","PT","0-30",15,3
"C17H5O2N1S1P1",1,"34B","PT","0-30",3,3
"C17H5O2N1S1P1",1,"49D","GS","30-60",50,1
"C17H5O2N1S1P1",1,"32B","PT","180-210",3,2
"C17H5O2N1S1P1",1,"26C","PT","0-30",15,3
"C17H5O2N1S1P1",1,"10D","DMT","30-60",50,3
"C17H5O2N1S1P1",1,"11C","PT","0-30",15,3
"C8H9O3N5S2P1",1,"29C","PT","90-120",15,3
"C8H9O3N5S2P1",1,"22C","PT","90-120",15,3
"C8H9O3N5S2P1",1,"37C","PT","90-120",15,3
"C12H5O6N3P1",1,"1C","DMT","0-30",15,1
"C12H5O6N3P1",1,"1B","DMT","0-30",3,1
"C17H6O3N2S1",1,"15C","PT","120-150",15,2
"C17H6O3N2S1",1,"23C","PT","120-150",15,2
"C19H12O1P2",1,"1C","DMT","0-30",15,1
"C13H5N9P1",1,"25B","PT","180-210",3,2
"C13H5N9P1",1,"49D","GS","30-60",50,1
"C13H5N9P1",1,"32D","PT","180-210",50,2
"C13H5N9P1",1,"32B","PT","180-210",3,2
"C13H5N9P1",1,"25D","PT","180-210",50,2
"C17H18S3",1,"25B","PT","180-210",3,2
"C17H18S3",1,"32B","PT","180-210",3,2
"C13H22O3N2S2",1,"8D","DMT","30-60",50,2
"C13H22O3N2S2",1,"10D","DMT","30-60",50,2
"C17H18O6",1,"2D","DMT","30-60",50,2
"C17H18O6",1,"10D","DMT","30-60",50,2
"C8H19O8N1P2",1,"52C","GS","30-60",15,2
"C8H19O8N1P2",1,"49D","GS","30-60",50,1
"C8H19O8N1P2",1,"53C","GS","30-60",15,2
"C8H4O6N2S3",1,"29C","PT","90-120",15,3
"C8H4O6N2S3",1,"15C","PT","120-150",15,3
"C8H4O6N2S3",1,"30D","PT","120-150",50,3
"C8H4O6N2S3",1,"26D","PT","0-30",50,2
"C8H4O6N2S3",1,"28C","PT","60-90",15,2
"C8H4O6N2S3",1,"21C","PT","60-90",15,2
"C8H4O6N2S3",1,"19D","PT","0-30",50,2
"C8H4O6N2S3",1,"23D","PT","120-150",50,3
"C8H4O6N2S3",1,"22C","PT","90-120",15,3
"C8H4O6N2S3",1,"37C","PT","90-120",15,3
"C8H4O6N2S3",1,"30C","PT","120-150",15,3
"C8H4O6N2S3",1,"41D","PT","210-240",50,2
"C8H4O6N2S3",1,"33D","PT","210-240",50,2
"C8H4O6N2S3",1,"1B","DMT","0-30",3,1
"C8H4O6N2S3",1,"38D","PT","120-150",50,3
"C8H4O6N2S3",1,"23C","PT","120-150",15,3
"C6H3O5N5S2P1",1,"1C","DMT","0-30",15,1
"C6H3O5N5S2P1",1,"1B","DMT","0-30",3,1
"C6H3O5N5S2P1",1,"2C","DMT","30-60",15,1
"C8H16O3S5",1,"29C","PT","90-120",15,3
"C8H16O3S5",1,"12D","PT","30-60",50,3
"C8H16O3S5",1,"15C","PT","120-150",15,2
"C8H16O3S5",1,"26D","PT","0-30",50,2
"C8H16O3S5",1,"27D","PT","30-60",50,3
"C8H16O3S5",1,"28C","PT","60-90",15,2
"C8H16O3S5",1,"21C","PT","60-90",15,2
"C8H16O3S5",1,"19D","PT","0-30",50,2
"C8H16O3S5",1,"22C","PT","90-120",15,3
"C8H16O3S5",1,"2D","DMT","30-60",50,2
"C8H16O3S5",1,"37C","PT","90-120",15,3
"C8H16O3S5",1,"8D","DMT","30-60",50,2
"C8H16O3S5",1,"23C","PT","120-150",15,2
"C8H16O3S5",1,"20D","PT","30-60",50,3
"C11H6O4N4P2",1,"17A","PT","180-210",1.5,2
"C11H6O4N4P2",1,"13A","PT","60-90",1.5,3
"C11H6O4N4P2",1,"25A","PT","180-210",1.5,2
"C11H6O4N4P2",1,"2B","DMT","30-60",3,1
"C11H6O4N4P2",1,"28A","PT","60-90",1.5,3
"C11H6O4N4P2",1,"15C","PT","120-150",15,2
"C11H6O4N4P2",1,"42B","GS","0-30",3,2
"C11H6O4N4P2",1,"21C","PT","60-90",15,2
"C11H6O4N4P2",1,"2D","DMT","30-60",50,2
"C11H6O4N4P2",1,"8D","DMT","30-60",50,2
"C11H6O4N4P2",1,"33B","PT","210-240",3,2
"C11H6O4N4P2",1,"45B","GS","0-30",3,2
"C11H6O4N4P2",1,"30C","PT","120-150",15,2
"C11H6O4N4P2",1,"52C","GS","30-60",15,2
"C11H6O4N4P2",1,"41D","PT","210-240",50,2
"C11H6O4N4P2",1,"1C","DMT","0-30",15,1
"C11H6O4N4P2",1,"33D","PT","210-240",50,2
"C11H6O4N4P2",1,"32D","PT","180-210",50,2
"C11H6O4N4P2",1,"46C","GS","30-60",15,2
"C11H6O4N4P2",1,"25D","PT","180-210",50,2
"C11H6O4N4P2",1,"26C","PT","0-30",15,2
"C11H6O4N4P2",1,"2C","DMT","30-60",15,1
"C11H6O4N4P2",1,"21A","PT","60-90",1.5,3
"C11H6O4N4P2",1,"13C","PT","60-90",15,2
"C11H6O4N4P2",1,"11C","PT","0-30",15,2
"C11H6O4N4P2",1,"33B2","PT","210-240",3,2
"C16H4O6N2",1,"1C","DMT","0-30",15,1
"C10H11O9N1P1",1,"25B","PT","180-210",3,2
"C10H11O9N1P1",1,"8D","DMT","30-60",50,2
"C10H11O9N1P1",1,"52C","GS","30-60",15,2
"C10H11O9N1P1",1,"49D","GS","30-60",50,1
"C10H11O9N1P1",1,"32B","PT","180-210",3,2
"C10H11O9N1P1",1,"53C","GS","30-60",15,2
"C10H11O9N1P1",1,"10D","DMT","30-60",50,2
"C18H11O1N1S1P1",1,"46B","GS","30-60",3,2
"C18H11O1N1S1P1",1,"45A","GS","0-30",1.5,3
"C18H11O1N1S1P1",1,"15A","PT","120-150",1.5,3
"C18H11O1N1S1P1",1,"13B","PT","60-90",3,3
"C18H11O1N1S1P1",1,"11B","PT","0-30",3,3
"C18H11O1N1S1P1",1,"12D","PT","30-60",50,3
"C18H11O1N1S1P1",1,"42A","GS","0-30",1.5,3
"C18H11O1N1S1P1",1,"15C","PT","120-150",15,2
"C18H11O1N1S1P1",1,"30D","PT","120-150",50,3
"C18H11O1N1S1P1",1,"26D","PT","0-30",50,2
"C18H11O1N1S1P1",1,"28D","PT","60-90",50,2
"C18H11O1N1S1P1",1,"7A","DMT","0-30",1.5,2
"C18H11O1N1S1P1",1,"50B","GS","60-90",3,2
"C18H11O1N1S1P1",1,"33A","PT","210-240",1.5,1
"C18H11O1N1S1P1",1,"28C","PT","60-90",15,2
"C18H11O1N1S1P1",1,"15D","PT","120-150",50,3
"C18H11O1N1S1P1",1,"25B","PT","180-210",3,2
"C18H11O1N1S1P1",1,"21C","PT","60-90",15,2
"C18H11O1N1S1P1",1,"19D","PT","0-30",50,2
"C18H11O1N1S1P1",1,"23D","PT","120-150",50,3
"C18H11O1N1S1P1",1,"19B","PT","0-30",3,3
"C18H11O1N1S1P1",1,"21B","PT","60-90",3,3
"C18H11O1N1S1P1",1,"46A","GS","30-60",1.5,2
"C18H11O1N1S1P1",1,"47B","GS","60-90",3,2
"C18H11O1N1S1P1",1,"2D","DMT","30-60",50,3
"C18H11O1N1S1P1",1,"8D","DMT","30-60",50,3
"C18H11O1N1S1P1",1,"36D","PT","60-90",50,2
"C18H11O1N1S1P1",1,"34C","PT","0-30",15,3
"C18H11O1N1S1P1",1,"36B","PT","60-90",3,3
"C18H11O1N1S1P1",1,"35D","PT","30-60",50,3
"C18H11O1N1S1P1",1,"45A2","GS","0-30",1.5,3
"C18H11O1N1S1P1",1,"34B","PT","0-30",3,3
"C18H11O1N1S1P1",1,"32B","PT","180-210",3,2
"C18H11O1N1S1P1",1,"26C","PT","0-30",15,3
"C18H11O1N1S1P1",1,"30A","PT","120-150",1.5,3
"C18H11O1N1S1P1",1,"23C","PT","120-150",15,2
"C18H11O1N1S1P1",1,"52B","GS","30-60",3,2
"C18H11O1N1S1P1",1,"20D","PT","30-60",50,3
"C18H11O1N1S1P1",1,"1A","DMT","0-30",1.5,2
"C18H11O1N1S1P1",1,"52A","GS","30-60",1.5,2
"C18H11O1N1S1P1",1,"10D","DMT","30-60",50,3
"C18H11O1N1S1P1",1,"23A","PT","120-150",1.5,3
"C18H11O1N1S1P1",1,"11C","PT","0-30",15,3
"C15H15O5N1P1",1,"13B","PT","60-90",3,3
"C15H15O5N1P1",1,"11B","PT","0-30",3,3
"C15H15O5N1P1",1,"26D","PT","0-30",50,3
"C15H15O5N1P1",1,"50B","GS","60-90",3,2
"C15H15O5N1P1",1,"25B","PT","180-210",3,2
"C15H15O5N1P1",1,"19D","PT","0-30",50,3
"C15H15O5N1P1",1,"19B","PT","0-30",3,3
"C15H15O5N1P1",1,"21B","PT","60-90",3,3
"C15H15O5N1P1",1,"46A","GS","30-60",1.5,2
"C15H15O5N1P1",1,"47B","GS","60-90",3,2
"C15H15O5N1P1",1,"2D","DMT","30-60",50,3
"C15H15O5N1P1",1,"8D","DMT","30-60",50,3
"C15H15O5N1P1",1,"36B","PT","60-90",3,3
"C15H15O5N1P1",1,"34D","PT","0-30",50,3
"C15H15O5N1P1",1,"34B","PT","0-30",3,3
"C15H15O5N1P1",1,"32D","PT","180-210",50,2
"C15H15O5N1P1",1,"32B","PT","180-210",3,2
"C15H15O5N1P1",1,"25D","PT","180-210",50,2
"C15H15O5N1P1",1,"52A","GS","30-60",1.5,2
"C15H15O5N1P1",1,"10D","DMT","30-60",50,3
"C15H16O4N2S1",1,"52C","GS","30-60",15,2
"C15H16O4N2S1",1,"53C","GS","30-60",15,2
"C16H16O7",1,"1C","DMT","0-30",15,1
"C16H20O1N2S2",1,"8D","DMT","30-60",50,2
"C16H20O1N2S2",1,"10D","DMT","30-60",50,2
"C10H20O6N6",1,"50B","GS","60-90",3,2
"C10H20O6N6",1,"25B","PT","180-210",3,2
"C10H20O6N6",1,"47B","GS","60-90",3,2
"C10H20O6N6",1,"32B","PT","180-210",3,2
"C15H28O7",1,"50B","GS","60-90",3,2
"C15H28O7",1,"33A","PT","210-240",1.5,1
"C15H28O7",1,"25B","PT","180-210",3,2
"C15H28O7",1,"47B","GS","60-90",3,2
"C15H28O7",1,"32B","PT","180-210",3,2
"C10H11O11N1",1,"26D","PT","0-30",50,2
"C10H11O11N1",1,"50B","GS","60-90",3,2
"C10H11O11N1",1,"19D","PT","0-30",50,2
"C10H11O11N1",1,"47B","GS","60-90",3,2
"C10H11O11N1",1,"2D","DMT","30-60",50,2
"C10H11O11N1",1,"8D","DMT","30-60",50,2
"C13H17O1N5P2",1,"25B","PT","180-210",3,2
"C13H17O1N5P2",1,"52C","GS","30-60",15,2
"C13H17O1N5P2",1,"41D","PT","210-240",50,2
"C13H17O1N5P2",1,"33D","PT","210-240",50,2
"C13H17O1N5P2",1,"49D","GS","30-60",50,1
"C13H17O1N5P2",1,"32B","PT","180-210",3,2
"C13H17O1N5P2",1,"53C","GS","30-60",15,2
"C17H24P3",1,"26D","PT","0-30",50,2
"C17H24P3",1,"27D","PT","30-60",50,3
"C17H24P3",1,"50B","GS","60-90",3,2
"C17H24P3",1,"33A","PT","210-240",1.5,1
"C17H24P3",1,"28C","PT","60-90",15,2
"C17H24P3",1,"21C","PT","60-90",15,2
"C17H24P3",1,"19D","PT","0-30",50,2
"C17H24P3",1,"47B","GS","60-90",3,2
"C17H24P3",1,"8D","DMT","30-60",50,2
"C17H24P3",1,"35D","PT","30-60",50,3
"C17H24P3",1,"20D","PT","30-60",50,3
"C17H24P3",1,"10D","DMT","30-60",50,2
"C15H30O3S1P1",1,"46B","GS","30-60",3,2
"C15H30O3S1P1",1,"13B","PT","60-90",3,3
"C15H30O3S1P1",1,"12D","PT","30-60",50,4
"C15H30O3S1P1",1,"15C","PT","120-150",15,3
"C15H30O3S1P1",1,"30D","PT","120-150",50,3
"C15H30O3S1P1",1,"26D","PT","0-30",50,2
"C15H30O3S1P1",1,"27D","PT","30-60",50,4
"C15H30O3S1P1",1,"28D","PT","60-90",50,2
"C15H30O3S1P1",1,"7A","DMT","0-30",1.5,2
"C15H30O3S1P1",1,"50B","GS","60-90",3,2
"C15H30O3S1P1",1,"33A","PT","210-240",1.5,1
"C15H30O3S1P1",1,"28C","PT","60-90",15,2
"C15H30O3S1P1",1,"15D","PT","120-150",50,3
"C15H30O3S1P1",1,"25B","PT","180-210",3,2
"C15H30O3S1P1",1,"21C","PT","60-90",15,2
"C15H30O3S1P1",1,"19D","PT","0-30",50,2
"C15H30O3S1P1",1,"23D","PT","120-150",50,3
"C15H30O3S1P1",1,"21B","PT","60-90",3,3
"C15H30O3S1P1",1,"46A","GS","30-60",1.5,2
"C15H30O3S1P1",1,"47B","GS","60-90",3,2
"C15H30O3S1P1",1,"2D","DMT","30-60",50,3
"C15H30O3S1P1",1,"8D","DMT","30-60",50,3
"C15H30O3S1P1",1,"36D","PT","60-90",50,2
"C15H30O3S1P1",1,"36B","PT","60-90",3,3
"C15H30O3S1P1",1,"35D","PT","30-60",50,4
"C15H30O3S1P1",1,"30C","PT","120-150",15,3
"C15H30O3S1P1",1,"52C","GS","30-60",15,3
"C15H30O3S1P1",1,"1C","DMT","0-30",15,1
"C15H30O3S1P1",1,"46C","GS","30-60",15,3
"C15H30O3S1P1",1,"32B","PT","180-210",3,2
"C15H30O3S1P1",1,"53C","GS","30-60",15,3
"C15H30O3S1P1",1,"23C","PT","120-150",15,3
"C15H30O3S1P1",1,"52B","GS","30-60",3,2
"C15H30O3S1P1",1,"20D","PT","30-60",50,4
"C15H30O3S1P1",1,"1A","DMT","0-30",1.5,2
"C15H30O3S1P1",1,"52A","GS","30-60",1.5,2
"C15H30O3S1P1",1,"10D","DMT","30-60",50,3
"C14H31O1N3S2",1,"26D","PT","0-30",50,2
"C14H31O1N3S2",1,"50B","GS","60-90",3,2
"C14H31O1N3S2",1,"19D","PT","0-30",50,2
"C14H31O1N3S2",1,"47B","GS","60-90",3,2
"C14H31O1N3S2",1,"2D","DMT","30-60",50,2
"C14H31O1N3S2",1,"8D","DMT","30-60",50,2
"C16H34O2S1P1",1,"50B","GS","60-90",3,2
"C16H34O2S1P1",1,"47B","GS","60-90",3,2
"C7H2O7N2S3",1,"2B","DMT","30-60",3,1
"C7H4O5N2S2P2",1,"17A","PT","180-210",1.5,2
"C7H4O5N2S2P2",1,"25A","PT","180-210",1.5,2
"C7H4O5N2S2P2",1,"2B","DMT","30-60",3,1
"C5H2O3N6S4",1,"28C","PT","60-90",15,2
"C5H2O3N6S4",1,"21C","PT","60-90",15,2
"C13H9O7N1P1",1,"25B","PT","180-210",3,2
"C13H9O7N1P1",1,"32B","PT","180-210",3,2
"C13H10O6N2S1",1,"26D","PT","0-30",50,2
"C13H10O6N2S1",1,"19D","PT","0-30",50,2
"C11H14O9S1",1,"33A","PT","210-240",1.5,1
"C15H17O5N1P1",1,"46B","GS","30-60",3,2
"C15H17O5N1P1",1,"45A","GS","0-30",1.5,3
"C15H17O5N1P1",1,"15A","PT","120-150",1.5,3
"C15H17O5N1P1",1,"44A","GS","60-90",1.5,3
"C15H17O5N1P1",1,"13B","PT","60-90",3,3
"C15H17O5N1P1",1,"13A","PT","60-90",1.5,3
"C15H17O5N1P1",1,"11B","PT","0-30",3,3
"C15H17O5N1P1",1,"14B","PT","90-120",3,3
"C15H17O5N1P1",1,"12D","PT","30-60",50,3
"C15H17O5N1P1",1,"42A","GS","0-30",1.5,3
"C15H17O5N1P1",1,"12A","PT","30-60",1.5,3
"C15H17O5N1P1",1,"15C","PT","120-150",15,3
"C15H17O5N1P1",1,"30D","PT","120-150",50,3
"C15H17O5N1P1",1,"26D","PT","0-30",50,3
"C15H17O5N1P1",1,"28D","PT","60-90",50,2
"C15H17O5N1P1",1,"7A","DMT","0-30",1.5,2
"C15H17O5N1P1",1,"50B","GS","60-90",3,2
"C15H17O5N1P1",1,"33A","PT","210-240",1.5,1
"C15H17O5N1P1",1,"28C","PT","60-90",15,3
"C15H17O5N1P1",1,"15D","PT","120-150",50,3
"C15H17O5N1P1",1,"42B","GS","0-30",3,2
"C15H17O5N1P1",1,"16B","PT","150-180",3,3
"C15H17O5N1P1",1,"25B","PT","180-210",3,2
"C15H17O5N1P1",1,"21C","PT","60-90",15,3
"C15H17O5N1P1",1,"19D","PT","0-30",50,3
"C15H17O5N1P1",1,"23D","PT","120-150",50,3
"C15H17O5N1P1",1,"19B","PT","0-30",3,3
"C15H17O5N1P1",1,"21B","PT","60-90",3,3
"C15H17O5N1P1",1,"46A","GS","30-60",1.5,2
"C15H17O5N1P1",1,"47B","GS","60-90",3,2
"C15H17O5N1P1",1,"2D","DMT","30-60",50,3
"C15H17O5N1P1",1,"8D","DMT","30-60",50,3
"C15H17O5N1P1",1,"8A","DMT","30-60",1.5,2
"C15H17O5N1P1",1,"45B","GS","0-30",3,2
"C15H17O5N1P1",1,"36D","PT","60-90",50,2
"C15H17O5N1P1",1,"34C","PT","0-30",15,3
"C15H17O5N1P1",1,"24D","PT","150-180",50,2
"C15H17O5N1P1",1,"36B","PT","60-90",3,3
"C15H17O5N1P1",1,"24B","PT","150-180",3,3
"C15H17O5N1P1",1,"35D","PT","30-60",50,3
"C15H17O5N1P1",1,"45A2","GS","0-30",1.5,3
"C15H17O5N1P1",1,"34D","PT","0-30",50,3
"C15H17O5N1P1",1,"30C","PT","120-150",15,3
"C15H17O5N1P1",1,"34B","PT","0-30",3,3
"C15H17O5N1P1",1,"31B","PT","150-180",3,3
"C15H17O5N1P1",1,"52C","GS","30-60",15,2
"C15H17O5N1P1",1,"1C","DMT","0-30",15,1
"C15H17O5N1P1",1,"49D","GS","30-60",50,1
"C15H17O5N1P1",1,"32D","PT","180-210",50,2
"C15H17O5N1P1",1,"46C","GS","30-60",15,2
