"formula","Site","Treatment","Suction"
"C10H19O3N1","DWP","time zero","50 kPa"
"C10H19O3N1","DWP","drought","1.5 kPa"
"C10H19O3N1","DWP","drought","50 kPa"
"C9H14O5","CPCRW","drought","50 kPa"
"C9H14O5","DWP","drought","50 kPa"
"C10H18O4","CPCRW","drought","50 kPa"
"C10H18O4","SR","drought","50 kPa"
"C10H18O4","SR","field moist","1.5 kPa"
"C10H18O4","CPCRW","flood","50 kPa"
"C10H18O4","DWP","time zero","50 kPa"
"C10H18O4","CPCRW","flood","1.5 kPa"
"C10H18O4","CPCRW","drought","1.5 kPa"
"C10H18O4","DWP","field moist","1.5 kPa"
"C10H18O4","DWP","drought","1.5 kPa"
"C10H18O4","SR","time zero","1.5 kPa"
"C10H18O4","DWP","flood","50 kPa"
"C10H18O4","DWP","field moist","50 kPa"
"C10H18O4","CPCRW","field moist","1.5 kPa"
"C10H18O4","SR","drought","1.5 kPa"
"C10H18O4","DWP","drought","50 kPa"
"C10H18O4","SR","field moist","50 kPa"
"C10H18O4","SR","flood","50 kPa"
"C10H18O4","SR","flood","1.5 kPa"
"C11H8O4","CPCRW","flood","50 kPa"
"C13H16O2","CPCRW","field moist","50 kPa"
"C13H16O2","CPCRW","flood","50 kPa"
"C10H20O4","CPCRW","flood","50 kPa"
"C7H10O7","DWP","time zero","50 kPa"
"C11H10O4","CPCRW","field moist","50 kPa"
"C11H10O4","CPCRW","flood","50 kPa"
"C12H14O3","CPCRW","field moist","50 kPa"
"C12H14O3","CPCRW","drought","50 kPa"
"C12H14O3","CPCRW","flood","50 kPa"
"C12H14O3","CPCRW","field moist","1.5 kPa"
"C12H14O3","CPCRW","time zero","50 kPa"
"C13H18O2","CPCRW","field moist","50 kPa"
"C13H18O2","CPCRW","flood","50 kPa"
"C14H22O1","CPCRW","field moist","50 kPa"
"C14H22O1","SR","drought","50 kPa"
"C14H22O1","SR","field moist","1.5 kPa"
"C14H22O1","CPCRW","flood","50 kPa"
"C14H22O1","DWP","time zero","50 kPa"
"C14H22O1","CPCRW","flood","1.5 kPa"
"C14H22O1","CPCRW","field moist","1.5 kPa"
"C14H22O1","DWP","field moist","1.5 kPa"
"C14H22O1","SR","time zero","1.5 kPa"
"C14H22O1","DWP","flood","50 kPa"
"C14H22O1","DWP","field moist","50 kPa"
"C14H22O1","SR","time zero","50 kPa"
"C14H22O1","SR","drought","1.5 kPa"
"C14H22O1","DWP","drought","50 kPa"
"C14H22O1","SR","field moist","50 kPa"
"C14H22O1","CPCRW","time zero","1.5 kPa"
"C14H22O1","CPCRW","time zero","50 kPa"
"C14H22O1","SR","flood","50 kPa"
"C14H22O1","SR","flood","1.5 kPa"
"C14H22O1","DWP","flood","1.5 kPa"
"C10H8O3S1","SR","drought","50 kPa"
"C10H8O3S1","SR","field moist","1.5 kPa"
"C10H8O3S1","SR","field moist","50 kPa"
"C10H8O3S1","SR","flood","50 kPa"
"C10H8O3S1","SR","flood","1.5 kPa"
"C10H8O5","CPCRW","field moist","50 kPa"
"C10H8O5","CPCRW","drought","50 kPa"
"C10H8O5","CPCRW","flood","50 kPa"
"C10H8O5","CPCRW","field moist","1.5 kPa"
"C10H8O5","CPCRW","time zero","50 kPa"
"C7H12O7","CPCRW","drought","50 kPa"
"C7H12O7","DWP","time zero","50 kPa"
"C7H12O7","CPCRW","drought","1.5 kPa"
"C11H12O4","CPCRW","field moist","50 kPa"
"C11H12O4","CPCRW","drought","50 kPa"
"C11H12O4","CPCRW","flood","50 kPa"
"C11H12O4","CPCRW","field moist","1.5 kPa"
"C11H12O4","CPCRW","time zero","1.5 kPa"
"C11H12O4","CPCRW","time zero","50 kPa"
"C12H16O3","CPCRW","field moist","50 kPa"
"C12H16O3","CPCRW","drought","50 kPa"
"C12H16O3","CPCRW","flood","50 kPa"
"C12H16O3","CPCRW","time zero","1.5 kPa"
"C12H16O3","CPCRW","time zero","50 kPa"
"C13H20O2","SR","drought","50 kPa"
"C13H20O2","DWP","time zero","50 kPa"
"C13H20O2","SR","flood","50 kPa"
"C12H20O1N2","CPCRW","field moist","50 kPa"
"C12H20O1N2","SR","field moist","1.5 kPa"
"C12H20O1N2","CPCRW","flood","1.5 kPa"
"C12H20O1N2","SR","time zero","1.5 kPa"
"C12H20O1N2","SR","time zero","50 kPa"
"C12H20O1N2","SR","field moist","50 kPa"
"C12H20O1N2","SR","flood","50 kPa"
"C12H20O1N2","SR","flood","1.5 kPa"
"C10H10O5","CPCRW","field moist","50 kPa"
"C10H10O5","CPCRW","drought","50 kPa"
"C10H10O5","CPCRW","flood","50 kPa"
"C10H10O5","CPCRW","field moist","1.5 kPa"
"C10H10O5","DWP","field moist","1.5 kPa"
"C10H10O5","DWP","field moist","50 kPa"
"C10H10O5","DWP","drought","50 kPa"
"C10H10O5","CPCRW","time zero","1.5 kPa"
"C10H10O5","CPCRW","time zero","50 kPa"
"C7H14O7","DWP","time zero","50 kPa"
"C7H14O7","DWP","time zero","1.5 kPa"
"C11H14O4","CPCRW","field moist","50 kPa"
"C11H14O4","CPCRW","drought","50 kPa"
"C11H14O4","CPCRW","flood","50 kPa"
"C11H14O4","CPCRW","flood","1.5 kPa"
"C11H14O4","CPCRW","field moist","1.5 kPa"
"C11H14O4","DWP","field moist","1.5 kPa"
"C11H14O4","DWP","field moist","50 kPa"
"C11H14O4","DWP","drought","50 kPa"
"C11H14O4","CPCRW","time zero","1.5 kPa"
"C11H14O4","CPCRW","time zero","50 kPa"
"C8H18O4S1","DWP","drought","50 kPa"
"C12H18O3","CPCRW","drought","50 kPa"
"C12H18O3","CPCRW","flood","50 kPa"
"C13H22O2","DWP","time zero","50 kPa"
"C9H8O6","CPCRW","flood","50 kPa"
"C10H12O5","CPCRW","field moist","50 kPa"
"C10H12O5","CPCRW","drought","50 kPa"
"C10H12O5","CPCRW","flood","50 kPa"
"C10H12O5","DWP","time zero","50 kPa"
"C10H12O5","CPCRW","flood","1.5 kPa"
"C10H12O5","CPCRW","field moist","1.5 kPa"
"C10H12O5","DWP","field moist","1.5 kPa"
"C10H12O5","DWP","field moist","50 kPa"
"C10H12O5","DWP","drought","50 kPa"
"C10H12O5","CPCRW","time zero","1.5 kPa"
"C10H12O5","CPCRW","time zero","50 kPa"
"C11H16O4","CPCRW","field moist","50 kPa"
"C11H16O4","CPCRW","drought","50 kPa"
"C11H16O4","SR","drought","50 kPa"
"C11H16O4","CPCRW","flood","50 kPa"
"C11H16O4","DWP","time zero","50 kPa"
"C11H16O4","CPCRW","flood","1.5 kPa"
"C11H16O4","CPCRW","field moist","1.5 kPa"
"C11H16O4","DWP","field moist","1.5 kPa"
"C11H16O4","DWP","drought","1.5 kPa"
"C11H16O4","DWP","flood","50 kPa"
"C11H16O4","DWP","field moist","50 kPa"
"C11H16O4","SR","drought","1.5 kPa"
"C11H16O4","DWP","drought","50 kPa"
"C11H16O4","CPCRW","time zero","1.5 kPa"
"C11H16O4","CPCRW","time zero","50 kPa"
"C11H16O4","SR","flood","50 kPa"
"C12H20O3","CPCRW","drought","50 kPa"
"C12H20O3","CPCRW","flood","50 kPa"
"C12H20O3","DWP","time zero","50 kPa"
"C12H20O3","SR","time zero","1.5 kPa"
"C12H20O3","SR","flood","50 kPa"
"C10H15O2N1S1","CPCRW","field moist","50 kPa"
"C10H15O2N1S1","SR","drought","50 kPa"
"C10H15O2N1S1","SR","field moist","1.5 kPa"
"C10H15O2N1S1","CPCRW","flood","50 kPa"
"C10H15O2N1S1","CPCRW","flood","1.5 kPa"
"C10H15O2N1S1","CPCRW","field moist","1.5 kPa"
"C10H15O2N1S1","DWP","field moist","1.5 kPa"
"C10H15O2N1S1","SR","time zero","1.5 kPa"
"C10H15O2N1S1","DWP","field moist","50 kPa"
"C10H15O2N1S1","SR","time zero","50 kPa"
"C10H15O2N1S1","SR","drought","1.5 kPa"
"C10H15O2N1S1","SR","field moist","50 kPa"
"C10H15O2N1S1","CPCRW","time zero","1.5 kPa"
"C10H15O2N1S1","CPCRW","time zero","50 kPa"
"C10H15O2N1S1","SR","flood","50 kPa"
"C10H15O2N1S1","SR","flood","1.5 kPa"
"C10H15O2N1S1","DWP","flood","1.5 kPa"
"C10H14O5","CPCRW","drought","50 kPa"
"C10H14O5","CPCRW","flood","50 kPa"
"C10H14O5","DWP","field moist","1.5 kPa"
"C10H14O5","DWP","flood","50 kPa"
"C10H14O5","DWP","field moist","50 kPa"
"C10H14O5","DWP","drought","50 kPa"
"C10H14O5","CPCRW","time zero","50 kPa"
"C10H14O5","CPCRW","field moist","50 kPa"
"C11H18O4","CPCRW","drought","50 kPa"
"C11H18O4","SR","drought","50 kPa"
"C11H18O4","CPCRW","flood","50 kPa"
"C11H18O4","DWP","time zero","50 kPa"
"C11H18O4","DWP","field moist","1.5 kPa"
"C11H18O4","DWP","flood","50 kPa"
"C11H18O4","DWP","field moist","50 kPa"
"C11H18O4","DWP","drought","50 kPa"
"C11H18O4","SR","flood","50 kPa"
"C11H18O4","DWP","drought","1.5 kPa"
"C12H22O3","CPCRW","drought","50 kPa"
"C12H22O3","SR","drought","50 kPa"
"C12H22O3","DWP","time zero","50 kPa"
"C12H22O3","SR","drought","1.5 kPa"
"C12H22O3","DWP","drought","50 kPa"
"C13H26O2","CPCRW","drought","50 kPa"
"C13H26O2","SR","drought","50 kPa"
"C13H26O2","SR","time zero","1.5 kPa"
"C13H26O2","SR","time zero","50 kPa"
"C13H26O2","SR","field moist","50 kPa"
"C13H26O2","SR","flood","50 kPa"
"C13H26O2","SR","flood","1.5 kPa"
"C7H5O3N1S2","CPCRW","field moist","50 kPa"
"C7H5O3N1S2","CPCRW","drought","50 kPa"
"C7H5O3N1S2","SR","drought","50 kPa"
"C7H5O3N1S2","SR","field moist","1.5 kPa"
"C7H5O3N1S2","CPCRW","flood","50 kPa"
"C7H5O3N1S2","DWP","time zero","50 kPa"
"C7H5O3N1S2","CPCRW","flood","1.5 kPa"
"C7H5O3N1S2","CPCRW","field moist","1.5 kPa"
"C7H5O3N1S2","DWP","time zero","1.5 kPa"
"C7H5O3N1S2","DWP","field moist","1.5 kPa"
"C7H5O3N1S2","DWP","drought","1.5 kPa"
"C7H5O3N1S2","SR","time zero","1.5 kPa"
"C7H5O3N1S2","DWP","flood","50 kPa"
"C7H5O3N1S2","DWP","field moist","50 kPa"
"C7H5O3N1S2","SR","time zero","50 kPa"
"C7H5O3N1S2","SR","drought","1.5 kPa"
"C7H5O3N1S2","DWP","drought","50 kPa"
"C7H5O3N1S2","SR","field moist","50 kPa"
"C7H5O3N1S2","CPCRW","time zero","1.5 kPa"
"C7H5O3N1S2","CPCRW","time zero","50 kPa"
"C7H5O3N1S2","SR","flood","50 kPa"
"C7H5O3N1S2","SR","flood","1.5 kPa"
"C7H5O3N1S2","DWP","flood","1.5 kPa"
"C11H21O3N1","DWP","time zero","50 kPa"
"C11H21O3N1","DWP","drought","1.5 kPa"
"C11H21O3N1","SR","time zero","1.5 kPa"
"C11H21O3N1","DWP","field moist","50 kPa"
"C11H21O3N1","DWP","drought","50 kPa"
"C9H12O6","CPCRW","flood","50 kPa"
"C13H12O3","CPCRW","field moist","50 kPa"
"C10H16O5","CPCRW","drought","50 kPa"
"C10H16O5","SR","drought","50 kPa"
"C10H16O5","CPCRW","flood","50 kPa"
"C10H16O5","DWP","time zero","50 kPa"
"C10H16O5","CPCRW","flood","1.5 kPa"
"C10H16O5","DWP","field moist","1.5 kPa"
"C10H16O5","SR","time zero","1.5 kPa"
"C10H16O5","DWP","field moist","50 kPa"
"C10H16O5","CPCRW","drought","1.5 kPa"
"C10H16O5","SR","drought","1.5 kPa"
"C10H16O5","DWP","drought","50 kPa"
"C10H16O5","SR","flood","50 kPa"
"C10H16O5","DWP","drought","1.5 kPa"
"C11H20O4","CPCRW","drought","50 kPa"
"C11H20O4","SR","drought","50 kPa"
"C11H20O4","CPCRW","flood","50 kPa"
"C11H20O4","DWP","time zero","50 kPa"
"C11H20O4","CPCRW","flood","1.5 kPa"
"C11H20O4","DWP","time zero","1.5 kPa"
"C11H20O4","SR","time zero","1.5 kPa"
"C11H20O4","SR","drought","1.5 kPa"
"C11H20O4","DWP","drought","50 kPa"
"C11H20O4","SR","field moist","50 kPa"
"C11H20O4","SR","flood","50 kPa"
"C11H20O4","SR","flood","1.5 kPa"
"C12H24O3","SR","drought","50 kPa"
"C12H24O3","DWP","time zero","50 kPa"
"C12H10O4","CPCRW","field moist","50 kPa"
"C12H10O4","CPCRW","drought","50 kPa"
"C12H10O4","CPCRW","flood","50 kPa"
"C12H10O4","DWP","flood","50 kPa"
"C12H10O4","CPCRW","time zero","50 kPa"
"C13H14O3","CPCRW","field moist","50 kPa"
"C13H14O3","CPCRW","flood","50 kPa"
"C13H14O3","CPCRW","time zero","50 kPa"
"C10H18O5","CPCRW","drought","50 kPa"
"C10H18O5","CPCRW","flood","50 kPa"
"C10H18O5","DWP","time zero","50 kPa"
"C10H18O5","SR","time zero","1.5 kPa"
"C10H18O5","DWP","drought","50 kPa"
"C10H18O5","SR","flood","50 kPa"
"C14H18O2","CPCRW","field moist","50 kPa"
"C14H18O2","CPCRW","flood","50 kPa"
"C9H17O5N1","DWP","time zero","50 kPa"
"C11H8O5","CPCRW","field moist","50 kPa"
"C11H8O5","CPCRW","drought","50 kPa"
"C11H8O5","CPCRW","flood","50 kPa"
"C11H8O5","CPCRW","flood","1.5 kPa"
"C11H8O5","CPCRW","field moist","1.5 kPa"
"C11H8O5","DWP","flood","50 kPa"
"C11H8O5","DWP","field moist","50 kPa"
"C11H8O5","CPCRW","time zero","50 kPa"
"C8H12O7","CPCRW","drought","50 kPa"
"C8H12O7","DWP","time zero","50 kPa"
"C8H12O7","DWP","time zero","1.5 kPa"
"C12H12O4","CPCRW","field moist","50 kPa"
"C12H12O4","CPCRW","drought","50 kPa"
"C12H12O4","CPCRW","flood","50 kPa"
"C12H12O4","CPCRW","field moist","1.5 kPa"
"C12H12O4","DWP","field moist","50 kPa"
"C12H12O4","CPCRW","time zero","1.5 kPa"
"C12H12O4","CPCRW","time zero","50 kPa"
"C13H16O3","CPCRW","field moist","50 kPa"
"C13H16O3","CPCRW","drought","50 kPa"
"C13H16O3","CPCRW","flood","50 kPa"
"C13H16O3","CPCRW","field moist","1.5 kPa"
"C13H16O3","DWP","field moist","50 kPa"
"C13H16O3","CPCRW","time zero","1.5 kPa"
"C13H16O3","CPCRW","time zero","50 kPa"
"C10H20O5","DWP","time zero","50 kPa"
"C14H20O2","CPCRW","drought","50 kPa"
"C14H20O2","CPCRW","flood","50 kPa"
"C15H24O1","SR","field moist","50 kPa"
"C15H24O1","SR","time zero","1.5 kPa"
"C10H6O6","CPCRW","field moist","50 kPa"
"C10H6O6","CPCRW","flood","50 kPa"
"C10H6O6","DWP","field moist","50 kPa"
"C11H10O5","CPCRW","field moist","50 kPa"
"C11H10O5","CPCRW","drought","50 kPa"
"C11H10O5","CPCRW","flood","50 kPa"
"C11H10O5","CPCRW","flood","1.5 kPa"
"C11H10O5","CPCRW","field moist","1.5 kPa"
"C11H10O5","DWP","field moist","1.5 kPa"
"C11H10O5","DWP","flood","50 kPa"
"C11H10O5","DWP","field moist","50 kPa"
"C11H10O5","DWP","drought","50 kPa"
"C11H10O5","CPCRW","time zero","1.5 kPa"
"C11H10O5","CPCRW","time zero","50 kPa"
"C8H14O7","DWP","time zero","50 kPa"
"C8H14O7","DWP","time zero","1.5 kPa"
"C8H14O7","CPCRW","drought","50 kPa"
"C12H14O4","CPCRW","field moist","50 kPa"
"C12H14O4","CPCRW","drought","50 kPa"
"C12H14O4","SR","drought","50 kPa"
"C12H14O4","CPCRW","flood","50 kPa"
"C12H14O4","DWP","time zero","50 kPa"
"C12H14O4","CPCRW","flood","1.5 kPa"
"C12H14O4","CPCRW","field moist","1.5 kPa"
"C12H14O4","CPCRW","drought","1.5 kPa"
"C12H14O4","DWP","field moist","1.5 kPa"
"C12H14O4","SR","time zero","1.5 kPa"
"C12H14O4","DWP","flood","50 kPa"
"C12H14O4","DWP","field moist","50 kPa"
"C12H14O4","SR","time zero","50 kPa"
"C12H14O4","DWP","drought","50 kPa"
"C12H14O4","SR","field moist","50 kPa"
"C12H14O4","CPCRW","time zero","1.5 kPa"
"C12H14O4","CPCRW","time zero","50 kPa"
"C12H14O4","SR","flood","50 kPa"
"C9H18O6","SR","field moist","50 kPa"
"C13H18O3","CPCRW","field moist","50 kPa"
"C13H18O3","CPCRW","drought","50 kPa"
"C13H18O3","CPCRW","flood","50 kPa"
"C13H18O3","DWP","time zero","50 kPa"
"C13H18O3","CPCRW","flood","1.5 kPa"
"C13H18O3","CPCRW","field moist","1.5 kPa"
"C13H18O3","DWP","field moist","1.5 kPa"
"C13H18O3","DWP","field moist","50 kPa"
"C13H18O3","DWP","drought","50 kPa"
"C13H18O3","CPCRW","time zero","1.5 kPa"
"C13H18O3","CPCRW","time zero","50 kPa"
"C14H22O2","CPCRW","field moist","50 kPa"
"C14H22O2","CPCRW","drought","50 kPa"
"C14H22O2","SR","drought","50 kPa"
"C14H22O2","SR","field moist","1.5 kPa"
"C14H22O2","CPCRW","flood","50 kPa"
"C14H22O2","DWP","time zero","50 kPa"
"C14H22O2","CPCRW","flood","1.5 kPa"
"C14H22O2","CPCRW","field moist","1.5 kPa"
"C14H22O2","CPCRW","drought","1.5 kPa"
"C14H22O2","DWP","time zero","1.5 kPa"
"C14H22O2","DWP","field moist","1.5 kPa"
"C14H22O2","DWP","drought","1.5 kPa"
"C14H22O2","SR","time zero","1.5 kPa"
"C14H22O2","DWP","field moist","50 kPa"
"C14H22O2","SR","time zero","50 kPa"
"C14H22O2","SR","drought","1.5 kPa"
"C14H22O2","DWP","drought","50 kPa"
"C14H22O2","SR","field moist","50 kPa"
"C14H22O2","CPCRW","time zero","1.5 kPa"
"C14H22O2","CPCRW","time zero","50 kPa"
"C14H22O2","SR","flood","50 kPa"
"C14H22O2","SR","flood","1.5 kPa"
"C14H22O2","DWP","flood","1.5 kPa"
"C10H8O6","CPCRW","field moist","50 kPa"
"C10H8O6","CPCRW","drought","50 kPa"
"C10H8O6","CPCRW","flood","50 kPa"
"C10H8O6","CPCRW","flood","1.5 kPa"
"C10H8O6","CPCRW","field moist","1.5 kPa"
"C10H8O6","DWP","field moist","1.5 kPa"
"C10H8O6","DWP","field moist","50 kPa"
"C10H8O6","DWP","drought","50 kPa"
"C10H8O6","CPCRW","time zero","50 kPa"
"C7H12O8","DWP","time zero","50 kPa"
"C11H12O5","CPCRW","field moist","50 kPa"
"C11H12O5","CPCRW","drought","50 kPa"
"C11H12O5","CPCRW","flood","50 kPa"
"C11H12O5","DWP","time zero","50 kPa"
"C11H12O5","CPCRW","flood","1.5 kPa"
"C11H12O5","CPCRW","field moist","1.5 kPa"
"C11H12O5","DWP","field moist","1.5 kPa"
"C11H12O5","DWP","flood","50 kPa"
"C11H12O5","DWP","field moist","50 kPa"
"C11H12O5","DWP","drought","50 kPa"
"C11H12O5","CPCRW","time zero","1.5 kPa"
"C11H12O5","CPCRW","time zero","50 kPa"
"C11H12O5","SR","flood","50 kPa"
"C12H16O4","CPCRW","field moist","50 kPa"
"C12H16O4","CPCRW","drought","50 kPa"
"C12H16O4","CPCRW","flood","50 kPa"
"C12H16O4","DWP","time zero","50 kPa"
"C12H16O4","CPCRW","flood","1.5 kPa"
"C12H16O4","CPCRW","field moist","1.5 kPa"
"C12H16O4","CPCRW","drought","1.5 kPa"
"C12H16O4","DWP","field moist","1.5 kPa"
"C12H16O4","DWP","flood","50 kPa"
"C12H16O4","DWP","field moist","50 kPa"
"C12H16O4","DWP","drought","50 kPa"
"C12H16O4","CPCRW","time zero","1.5 kPa"
"C12H16O4","CPCRW","time zero","50 kPa"
"C12H16O4","SR","flood","50 kPa"
"C13H20O3","CPCRW","field moist","50 kPa"
"C13H20O3","CPCRW","drought","50 kPa"
"C13H20O3","CPCRW","flood","50 kPa"
"C13H20O3","DWP","time zero","50 kPa"
"C13H20O3","CPCRW","flood","1.5 kPa"
"C13H20O3","CPCRW","field moist","1.5 kPa"
"C13H20O3","SR","time zero","1.5 kPa"
"C13H20O3","DWP","drought","50 kPa"
"C13H20O3","SR","field moist","50 kPa"
"C13H20O3","CPCRW","time zero","1.5 kPa"
"C13H20O3","CPCRW","time zero","50 kPa"
"C13H20O3","SR","flood","50 kPa"
"C13H24O1N2","SR","time zero","1.5 kPa"
"C13H24O1N2","SR","flood","50 kPa"
"C10H10O6","CPCRW","field moist","50 kPa"
"C10H10O6","CPCRW","drought","50 kPa"
"C10H10O6","CPCRW","flood","50 kPa"
"C10H10O6","DWP","time zero","50 kPa"
"C10H10O6","CPCRW","flood","1.5 kPa"
"C10H10O6","CPCRW","field moist","1.5 kPa"
"C10H10O6","DWP","field moist","1.5 kPa"
"C10H10O6","DWP","flood","50 kPa"
"C10H10O6","DWP","field moist","50 kPa"
"C10H10O6","DWP","drought","50 kPa"
"C10H10O6","CPCRW","time zero","50 kPa"
"C11H14O5","CPCRW","field moist","50 kPa"
"C11H14O5","CPCRW","drought","50 kPa"
"C11H14O5","CPCRW","flood","50 kPa"
"C11H14O5","DWP","time zero","50 kPa"
"C11H14O5","CPCRW","flood","1.5 kPa"
"C11H14O5","CPCRW","field moist","1.5 kPa"
"C11H14O5","CPCRW","drought","1.5 kPa"
"C11H14O5","DWP","field moist","1.5 kPa"
"C11H14O5","DWP","drought","1.5 kPa"
"C11H14O5","DWP","flood","50 kPa"
"C11H14O5","DWP","field moist","50 kPa"
"C11H14O5","DWP","drought","50 kPa"
"C11H14O5","SR","field moist","50 kPa"
"C11H14O5","CPCRW","time zero","1.5 kPa"
"C11H14O5","CPCRW","time zero","50 kPa"
"C11H14O5","SR","flood","50 kPa"
"C11H14O5","DWP","flood","1.5 kPa"
"C12H18O4","CPCRW","field moist","50 kPa"
"C12H18O4","CPCRW","drought","50 kPa"
"C12H18O4","SR","drought","50 kPa"
"C12H18O4","SR","field moist","1.5 kPa"
"C12H18O4","CPCRW","flood","50 kPa"
"C12H18O4","DWP","time zero","50 kPa"
"C12H18O4","CPCRW","flood","1.5 kPa"
"C12H18O4","CPCRW","field moist","1.5 kPa"
"C12H18O4","CPCRW","drought","1.5 kPa"
"C12H18O4","DWP","field moist","1.5 kPa"
"C12H18O4","SR","time zero","1.5 kPa"
"C12H18O4","DWP","flood","50 kPa"
"C12H18O4","DWP","field moist","50 kPa"
"C12H18O4","SR","time zero","50 kPa"
"C12H18O4","SR","drought","1.5 kPa"
"C12H18O4","DWP","drought","50 kPa"
"C12H18O4","SR","field moist","50 kPa"
"C12H18O4","CPCRW","time zero","1.5 kPa"
"C12H18O4","CPCRW","time zero","50 kPa"
"C12H18O4","SR","flood","50 kPa"
"C13H22O3","CPCRW","drought","50 kPa"
"C13H22O3","CPCRW","flood","50 kPa"
"C13H22O3","DWP","time zero","50 kPa"
"C13H22O3","DWP","time zero","1.5 kPa"
"C13H22O3","SR","time zero","1.5 kPa"
"C13H22O3","SR","time zero","50 kPa"
"C13H22O3","DWP","drought","50 kPa"
"C13H22O3","SR","field moist","50 kPa"
"C13H22O3","SR","flood","50 kPa"
"C12H22O2N2","CPCRW","field moist","50 kPa"
"C12H22O2N2","CPCRW","drought","50 kPa"
"C12H22O2N2","SR","drought","50 kPa"
"C12H22O2N2","SR","field moist","1.5 kPa"
"C12H22O2N2","CPCRW","flood","50 kPa"
"C12H22O2N2","DWP","time zero","50 kPa"
"C12H22O2N2","CPCRW","flood","1.5 kPa"
"C12H22O2N2","CPCRW","field moist","1.5 kPa"
"C12H22O2N2","CPCRW","drought","1.5 kPa"
"C12H22O2N2","DWP","time zero","1.5 kPa"
"C12H22O2N2","DWP","field moist","1.5 kPa"
"C12H22O2N2","DWP","drought","1.5 kPa"
"C12H22O2N2","SR","time zero","1.5 kPa"
"C12H22O2N2","DWP","flood","50 kPa"
"C12H22O2N2","DWP","field moist","50 kPa"
"C12H22O2N2","SR","time zero","50 kPa"
"C12H22O2N2","SR","drought","1.5 kPa"
"C12H22O2N2","DWP","drought","50 kPa"
"C12H22O2N2","SR","field moist","50 kPa"
"C12H22O2N2","CPCRW","time zero","1.5 kPa"
"C12H22O2N2","CPCRW","time zero","50 kPa"
"C12H22O2N2","SR","flood","50 kPa"
"C12H22O2N2","SR","flood","1.5 kPa"
"C12H22O2N2","DWP","flood","1.5 kPa"
"C14H26O2","SR","time zero","1.5 kPa"
"C14H26O2","SR","time zero","50 kPa"
"C14H26O2","SR","field moist","50 kPa"
"C14H26O2","SR","flood","50 kPa"
"C14H26O2","SR","flood","1.5 kPa"
"C9H8O7","CPCRW","flood","50 kPa"
"C10H12O6","CPCRW","field moist","50 kPa"
"C10H12O6","CPCRW","drought","50 kPa"
"C10H12O6","CPCRW","flood","50 kPa"
"C10H12O6","CPCRW","field moist","1.5 kPa"
"C10H12O6","DWP","field moist","1.5 kPa"
"C10H12O6","DWP","field moist","50 kPa"
"C10H12O6","CPCRW","time zero","50 kPa"
"C11H16O5","CPCRW","field moist","50 kPa"
"C11H16O5","CPCRW","drought","50 kPa"
"C11H16O5","SR","drought","50 kPa"
"C11H16O5","CPCRW","flood","50 kPa"
"C11H16O5","DWP","time zero","50 kPa"
"C11H16O5","CPCRW","flood","1.5 kPa"
"C11H16O5","CPCRW","field moist","1.5 kPa"
"C11H16O5","CPCRW","drought","1.5 kPa"
"C11H16O5","DWP","time zero","1.5 kPa"
"C11H16O5","DWP","field moist","1.5 kPa"
"C11H16O5","DWP","drought","1.5 kPa"
"C11H16O5","SR","time zero","1.5 kPa"
"C11H16O5","DWP","flood","50 kPa"
"C11H16O5","DWP","field moist","50 kPa"
"C11H16O5","SR","drought","1.5 kPa"
"C11H16O5","DWP","drought","50 kPa"
"C11H16O5","SR","field moist","50 kPa"
"C11H16O5","CPCRW","time zero","1.5 kPa"
"C11H16O5","CPCRW","time zero","50 kPa"
"C11H16O5","SR","flood","50 kPa"
"C12H20O4","CPCRW","drought","50 kPa"
"C12H20O4","SR","drought","50 kPa"
"C12H20O4","CPCRW","flood","50 kPa"
"C12H20O4","CPCRW","flood","1.5 kPa"
"C12H20O4","CPCRW","field moist","1.5 kPa"
"C12H20O4","CPCRW","drought","1.5 kPa"
"C12H20O4","SR","time zero","1.5 kPa"
"C12H20O4","SR","drought","1.5 kPa"
"C12H20O4","DWP","drought","50 kPa"
"C12H20O4","SR","flood","50 kPa"
"C13H24O3","CPCRW","drought","50 kPa"
"C13H24O3","SR","drought","50 kPa"
"C13H24O3","CPCRW","flood","50 kPa"
"C13H24O3","DWP","time zero","50 kPa"
"C13H24O3","DWP","time zero","1.5 kPa"
"C14H28O2","CPCRW","field moist","50 kPa"
"C14H28O2","CPCRW","drought","50 kPa"
"C14H28O2","SR","drought","50 kPa"
"C14H28O2","SR","field moist","1.5 kPa"
"C14H28O2","CPCRW","flood","50 kPa"
"C14H28O2","DWP","time zero","50 kPa"
"C14H28O2","CPCRW","flood","1.5 kPa"
"C14H28O2","CPCRW","field moist","1.5 kPa"
"C14H28O2","CPCRW","drought","1.5 kPa"
"C14H28O2","DWP","time zero","1.5 kPa"
"C14H28O2","DWP","field moist","1.5 kPa"
"C14H28O2","DWP","drought","1.5 kPa"
"C14H28O2","SR","time zero","1.5 kPa"
"C14H28O2","DWP","field moist","50 kPa"
"C14H28O2","SR","time zero","50 kPa"
"C14H28O2","SR","drought","1.5 kPa"
"C14H28O2","DWP","drought","50 kPa"
"C14H28O2","SR","field moist","50 kPa"
"C14H28O2","CPCRW","time zero","1.5 kPa"
"C14H28O2","CPCRW","time zero","50 kPa"
"C14H28O2","SR","flood","50 kPa"
"C14H28O2","SR","flood","1.5 kPa"
"C14H28O2","DWP","flood","1.5 kPa"
