"","formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"5138","C24H23O3N2P1","Lignin","aromatic","aromatic",0.5385,-0.4583,0.96,0.12,9,15,0.375
"5139","C18H26O11","Lignin","unsaturated/lignin","unsaturated/lignin",0.04,-0.2222,1.44,0.61,-5,6,-0.2778
"5140","C21H27O3N2S1P1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2903,-0.619,1.29,0.14,3,10,0.1429
"5141","C19H31O6S1P1","Protein","aliphatic","aliphatic",0,-0.8947,1.63,0.32,-3,5,-0.1579
"5142","C15H31O11P1","Carb","aliphatic","lipid",-0.6471,-0.6,2.07,0.73,-11,1,-0.7333
"5143","C22H26O8","Lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.4545,1.18,0.36,2,10,0.0909
"5144","C19H30O8S1","Protein","aliphatic","aliphatic",0,-0.6316,1.58,0.42,-4,5,-0.2105
"5145","C15H30O13","Carb","aliphatic","lipid",-0.6471,-0.2667,2,0.87,-12,1,-0.8
"5146","C19H31O8P1","Protein","aliphatic","aliphatic",0,-0.7895,1.63,0.42,-4,5,-0.2105
"5147","C23H30O5S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2821,-0.7826,1.3,0.22,3,9,0.1304
"5148","C19H30O10","Protein","aliphatic","aliphatic",0,-0.5263,1.58,0.53,-5,5,-0.2632
"5149","C27H30O2S1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.44,-0.8889,1.11,0.07,10,13,0.3704
"5150","C23H30O7","Lignin","unsaturated/lignin","unsaturated/lignin",0.2821,-0.6957,1.3,0.3,2,9,0.087
"5151","C24H34O2S2","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.2381,-1.0833,1.42,0.08,4,8,0.1667
"5152","C20H34O7S1","Protein","aliphatic","aliphatic",-0.0323,-0.9,1.7,0.35,-4,4,-0.2
"5153","C22H30O6N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.2353,-0.5455,1.36,0.27,1,9,0.0455
"5154","C24H34O4S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2381,-1,1.42,0.17,3,8,0.125
