"","formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"1","C7H7O4N1S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.3333,0.8571,1,0.57,-1,5,-0.1429
"2","C8H11O5N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.1111,0.25,1.38,0.62,-2,4,-0.25
"3","C9H15O4N1","Protein","aliphatic","aliphatic+N",0,-0.4444,1.67,0.44,-2,3,-0.2222
"4","C10H19O3N1","Protein","aliphatic","aliphatic+N",-0.0667,-1,1.9,0.3,-2,2,-0.2
"5","C7H6O5S1","Tannin","unsaturated/lignin","unsaturated/lignin",0.4286,0.8571,0.86,0.71,-1,5,-0.1429
"6","C6H7O2N2S1P1","Lignin","unsaturated/lignin","unsaturated/lignin",0,0.8333,1.17,0.33,-1,5,-0.1667
"7","C8H10O6","Tannin","unsaturated/lignin","unsaturated/lignin",0.2,0.25,1.25,0.75,-2,4,-0.25
"8","C12H10O3","Lignin","aromatic","aromatic",0.619,-0.3333,0.83,0.25,5,8,0.4167
"9","C9H14O5","AminoSugar","aliphatic","aliphatic",0.0769,-0.4444,1.56,0.56,-2,3,-0.2222
"10","C8H14O4N2","Protein","aliphatic","aliphatic+N",-0.25,0,1.75,0.5,-3,3,-0.375
"11","C13H14O2","Lignin","unsaturated/lignin","unsaturated/lignin",0.5,-0.7692,1.08,0.15,5,7,0.3846
"12","C10H18O4","Protein","aliphatic","aliphatic",0,-1,1.8,0.4,-2,2,-0.2
"13","C9H18O3N2","Protein","aliphatic","lipid",-0.2727,-0.6667,2,0.33,-3,2,-0.3333
"14","C14H18O1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.4074,-1.1429,1.29,0.07,5,6,0.3571
"15","C11H22O3","Lipid","aliphatic","lipid",-0.0526,-1.4545,2,0.27,-2,1,-0.1818
"16","C5H1O6N1S1","Other","condensed aromatic","condensed aromatic",Inf,3.2,0.2,1.2,-2,6,-0.4
"17","C7H9O6N1","Tannin","unsaturated/lignin","unsaturated/lignin",0,0.8571,1.29,0.86,-3,4,-0.4286
"18","C8H13O5N1","AminoSugar","aliphatic","aliphatic+N",-0.1111,0,1.62,0.62,-3,3,-0.375
"19","C9H17O4N1","Protein","aliphatic","aliphatic+N",-0.1667,-0.6667,1.89,0.44,-3,2,-0.3333
"20","C11H8O4","ConHC","condensed aromatic","condensed aromatic",0.6667,0,0.73,0.36,4,8,0.3636
"21","C8H12O6","Carb","aliphatic","aliphatic",0,0,1.5,0.75,-3,3,-0.375
"22","C7H12O5N2","Carb","aliphatic","aliphatic+N",-0.6,0.5714,1.71,0.71,-4,3,-0.5714
"23","C12H12O3","Lignin","aromatic","aromatic",0.5238,-0.5,1,0.25,4,7,0.3333
"24","C9H16O5","AminoSugar","aliphatic","aliphatic",-0.0769,-0.6667,1.78,0.56,-3,2,-0.3333
"25","C8H16O4N2","Protein","aliphatic","lipid",-0.5,-0.25,2,0.5,-4,2,-0.5
"26","C13H16O2","Lignin","unsaturated/lignin","unsaturated/lignin",0.4167,-0.9231,1.23,0.15,4,6,0.3077
"27","C10H20O4","Protein","aliphatic","lipid",-0.125,-1.2,2,0.4,-3,1,-0.3
"28","C14H20O1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.3333,-1.2857,1.43,0.07,4,5,0.2857
"29","C9H19O4N1","Protein","aliphatic","lipid",-0.3333,-0.8889,2.11,0.44,-4,1,-0.4444
"30","C10H6O5","ConHC","condensed aromatic","condensed aromatic",0.7333,0.4,0.6,0.5,3,8,0.3
"31","C7H10O7","Tannin","unsaturated/lignin","unsaturated/lignin",-0.1429,0.5714,1.43,1,-4,3,-0.5714
"32","C11H10O4","Lignin","aromatic","aromatic",0.5556,-0.1818,0.91,0.36,3,7,0.2727
"33","C8H14O6","Carb","aliphatic","aliphatic",-0.2,-0.25,1.75,0.75,-4,2,-0.5
"34","C12H14O3","Lignin","unsaturated/lignin","unsaturated/lignin",0.4286,-0.6667,1.17,0.25,3,6,0.25
"35","C9H18O5","AminoSugar","aliphatic","lipid",-0.2308,-0.8889,2,0.56,-4,1,-0.4444
"36","C13H18O2","Lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-1.0769,1.38,0.15,3,5,0.2308
"37","C14H22O1","Lipid","aliphatic","aliphatic",0.2593,-1.4286,1.57,0.07,3,4,0.2143
"38","C10H9O4N1","Lignin","aromatic","aromatic",0.5714,0.2,0.9,0.4,2,7,0.2
"39","C11H13O3N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4118,-0.3636,1.18,0.27,2,6,0.1818
"40","C9H4O6","ConHC","condensed aromatic","condensed aromatic",0.8333,0.8889,0.44,0.67,2,8,0.2222
"41","C10H8O3S1","Lignin","aromatic","aromatic",0.6,0,0.8,0.3,3,7,0.3
"42","C10H8O5","Lignin","aromatic","aromatic",0.6,0.2,0.8,0.5,2,7,0.2
"43","C7H12O7","Carb","aliphatic","aliphatic",-0.4286,0.2857,1.71,1,-5,2,-0.7143
"44","C11H12O4","Lignin","unsaturated/lignin","unsaturated/lignin",0.4444,-0.3636,1.09,0.36,2,6,0.1818
"45","C8H16O4S1","Protein","aliphatic","lipid",-0.4,-0.75,2,0.5,-4,1,-0.5
"46","C8H16O6","Carb","aliphatic","lipid",-0.4,-0.5,2,0.75,-5,1,-0.625
"47","C12H16O3","Lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.8333,1.33,0.25,2,5,0.1667
"48","C13H20O2","Lipid","aliphatic","aliphatic",0.25,-1.2308,1.54,0.15,2,4,0.1538
"49","C12H20O1N2","Lipid","aliphatic","aliphatic+N",0.1579,-1,1.67,0.08,1,4,0.0833
"50","C14H24O1","Lipid","aliphatic","aliphatic",0.1852,-1.5714,1.71,0.07,2,3,0.1429
"51","C7H15O4N1S1","AminoSugar","aliphatic","lipid",-1,-0.2857,2.14,0.57,-5,1,-0.7143
"52","C11H15O3N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2941,-0.5455,1.36,0.27,1,5,0.0909
"53","C9H6O6","ConHC","condensed aromatic","condensed aromatic",0.6667,0.6667,0.67,0.67,1,7,0.1111
"54","C6H10O6S1","Carb","aliphatic","aliphatic",-1,0.6667,1.67,1,-5,2,-0.8333
"55","C10H10O3S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4667,-0.2,1,0.3,2,6,0.2
"56","C10H10O5","Lignin","unsaturated/lignin","unsaturated/lignin",0.4667,0,1,0.5,1,6,0.1
"57","C7H14O7","Carb","aliphatic","carbohydrate",-0.7143,0,2,1,-6,1,-0.8571
"58","C8H18O2S2","Lipid","aliphatic","lipid",-0.6,-1.25,2.25,0.25,-4,0,-0.5
"59","C11H14O4","Lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.5455,1.27,0.36,1,5,0.0909
"60","C8H18O4S1","Protein","aliphatic","lipid",-0.6,-1,2.25,0.5,-5,0,-0.625
"61","C8H19O4P1","Other","aliphatic","lipid",-0.6,-1.375,2.38,0.5,-5,0,-0.625
"62","C12H18O3","Lipid","aliphatic","aliphatic",0.2381,-1,1.5,0.25,1,4,0.0833
"63","C13H22O2","Lipid","aliphatic","aliphatic",0.1667,-1.3846,1.69,0.15,1,3,0.0769
"64","C4H6O3N1S2P1","Carb","condensed aromatic","condensed aromatic",1.6667,1.75,1.5,0.75,-4,3,-1
"65","C6H2O2N3S1P1","ConHC","condensed aromatic","condensed aromatic",Inf,2.1667,0.33,0.33,1,8,0.1667
"66","C5H9O6N1S1","Other","aliphatic","aliphatic+N",-Inf,1.6,1.8,1.2,-6,2,-1.2
"67","C10H13O2N1S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2857,-0.4,1.3,0.2,1,5,0.1
"68","C7H5O2N2S1P1","ConHC","condensed aromatic","condensed aromatic",1,1,0.71,0.29,1,7,0.1429
"69","C9H8O6","Tannin","unsaturated/lignin","unsaturated/lignin",0.5,0.4444,0.89,0.67,0,6,0
"70","C13H8O3","ConHC","condensed aromatic","condensed aromatic",0.7391,-0.1538,0.62,0.23,7,10,0.5385
"71","C10H12O5","Lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.2,1.2,0.5,0,5,0
"72","C14H12O2","Lignin","aromatic","aromatic",0.6154,-0.5714,0.86,0.14,7,9,0.5
"73","C7H16O7","Other","aliphatic","carbohydrate",-1,-0.2857,2.29,1,-7,0,-1
"74","C11H16O4","Lignin","unsaturated/lignin","unsaturated/lignin",0.2222,-0.7273,1.45,0.36,0,4,0
"75","C12H20O3","Lipid","aliphatic","aliphatic",0.1429,-1.1667,1.67,0.25,0,3,0
"76","C13H24O2","Lipid","aliphatic","aliphatic",0.0833,-1.5385,1.85,0.15,0,2,0
"77","C14H28O1","Lipid","aliphatic","lipid",0.037,-1.8571,2,0.07,0,1,0
"78","C5H11O4N1S2","Other","aliphatic","lipid",-Inf,0.8,2.2,0.8,-6,1,-1.2
"79","C10H15O2N1S1","Lipid","aliphatic","aliphatic+N",0.1429,-0.6,1.5,0.2,0,4,0
"80","C5H11O5S1P1","Other","aliphatic","carbohydrate",-7,0.2,2.2,1,-6,1,-1.2
"81","C7H6O6N2","Tannin","unsaturated/lignin","unsaturated/lignin",0.5,1.7143,0.86,0.86,-2,6,-0.2857
"82","C9H10O4S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.3333,0,1.11,0.44,0,5,0
"83","C9H10O6","Tannin","unsaturated/lignin","unsaturated/lignin",0.3333,0.2222,1.11,0.67,-1,5,-0.1111
"84","C13H10O3","ConHC","aromatic","aromatic",0.6522,-0.3077,0.77,0.23,6,9,0.4615
"85","C10H14O5","Lignin","unsaturated/lignin","unsaturated/lignin",0.2,-0.4,1.4,0.5,-1,4,-0.1
"86","C14H14O2","Lignin","aromatic","aromatic",0.5385,-0.7143,1,0.14,6,8,0.4286
"87","C11H18O4","Protein","aliphatic","aliphatic",0.1111,-0.9091,1.64,0.36,-1,3,-0.0909
"88","C10H18O3N2","Protein","aliphatic","aliphatic+N",-0.0769,-0.6,1.8,0.3,-2,3,-0.2
"89","C12H22O3","Lipid","aliphatic","aliphatic",0.0476,-1.3333,1.83,0.25,-1,2,-0.0833
"90","C13H26O2","Lipid","aliphatic","lipid",0,-1.6923,2,0.15,-1,1,-0.0769
"91","C7H5O3N1S2","ConHC","aromatic","aromatic",0.6,1.1429,0.71,0.43,0,6,0
"92","C5H14O6N1P1","Other","aliphatic","carbohydrate",-Inf,0.2,2.8,1.2,-8,0,-1.6
"93","C10H17O4N1","Protein","aliphatic","aliphatic+N",0,-0.6,1.7,0.4,-2,3,-0.2
"94","C11H21O3N1","Lipid","aliphatic","aliphatic+N",-0.0588,-1.0909,1.91,0.27,-2,2,-0.1818
"95","C8H8O7","Tannin","unsaturated/lignin","unsaturated/lignin",0.3333,0.75,1,0.88,-2,5,-0.25
"96","C7H8O6N2","Tannin","unsaturated/lignin","unsaturated/lignin",0,1.4286,1.14,0.86,-3,5,-0.4286
"97","C12H8O4","ConHC","condensed aromatic","condensed aromatic",0.7,0,0.67,0.33,5,9,0.4167
"98","C9H12O6","Tannin","unsaturated/lignin","unsaturated/lignin",0.1667,0,1.33,0.67,-2,4,-0.2222
"99","C8H12O5N2","AminoSugar","aliphatic","aliphatic+N",-0.1429,0.5,1.5,0.62,-3,4,-0.375
"100","C13H12O3","Lignin","aromatic","aromatic",0.5652,-0.4615,0.92,0.23,5,8,0.3846
"101","C10H16O5","Protein","aliphatic","aliphatic",0.0667,-0.6,1.6,0.5,-2,3,-0.2
"102","C9H16O4N2","Protein","aliphatic","aliphatic+N",-0.2,-0.2222,1.78,0.44,-3,3,-0.3333
"103","C14H16O2","Lignin","unsaturated/lignin","unsaturated/lignin",0.4615,-0.8571,1.14,0.14,5,7,0.3571
"104","C11H20O4","Protein","aliphatic","aliphatic",0,-1.0909,1.82,0.36,-2,2,-0.1818
"105","C10H20O3N2","Protein","aliphatic","lipid",-0.2308,-0.8,2,0.3,-3,2,-0.3
"106","C12H24O3","Lipid","aliphatic","lipid",-0.0476,-1.5,2,0.25,-2,1,-0.1667
"107","C8H11O6N1","Tannin","unsaturated/lignin","unsaturated/lignin",0,0.5,1.38,0.75,-3,4,-0.375
"108","C9H15O5N1","AminoSugar","aliphatic","aliphatic+N",-0.0909,-0.2222,1.67,0.56,-3,3,-0.3333
"109","C10H19O4N1","Protein","aliphatic","aliphatic+N",-0.1429,-0.8,1.9,0.4,-3,2,-0.3
"110","C11H6O5","ConHC","condensed aromatic","condensed aromatic",0.7647,0.3636,0.55,0.45,4,9,0.3636
"111","C8H10O5S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.1111,0.25,1.25,0.62,-2,4,-0.25
"112","C15H6O2","ConHC","condensed aromatic","condensed aromatic",0.8571,-0.1333,0.4,0.13,11,13,0.7333
"113","C8H10O7","Tannin","unsaturated/lignin","unsaturated/lignin",0.1111,0.5,1.25,0.88,-3,4,-0.375
"114","C8H14O1N2S2","Lipid","aliphatic","aliphatic+N",-0.4286,-0.25,1.75,0.12,-2,3,-0.25
"115","C12H10O4","Lignin","aromatic","aromatic",0.6,-0.1667,0.83,0.33,4,8,0.3333
"116","C9H14O6","AminoSugar","aliphatic","aliphatic",0,-0.2222,1.56,0.67,-3,3,-0.3333
"117","C8H14O5N2","AminoSugar","aliphatic","aliphatic+N",-0.4286,0.25,1.75,0.62,-4,3,-0.5
"118","C13H14O3","Lignin","unsaturated/lignin","unsaturated/lignin",0.4783,-0.6154,1.08,0.23,4,7,0.3077
"119","C10H18O5","Protein","aliphatic","aliphatic",-0.0667,-0.8,1.8,0.5,-3,2,-0.3
"120","C9H18O4N2","Protein","aliphatic","lipid",-0.4,-0.4444,2,0.44,-4,2,-0.4444
"121","C14H18O2","Lignin","unsaturated/lignin","unsaturated/lignin",0.3846,-1,1.29,0.14,4,6,0.2857
"122","C11H22O4","Protein","aliphatic","lipid",-0.1111,-1.2727,2,0.36,-3,1,-0.2727
"123","C15H22O1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.3103,-1.3333,1.47,0.07,4,5,0.2667
"124","C8H13O6N1","Carb","aliphatic","aliphatic+N",-0.25,0.25,1.62,0.75,-4,3,-0.5
"125","C9H17O5N1","AminoSugar","aliphatic","aliphatic+N",-0.2727,-0.4444,1.89,0.56,-4,2,-0.4444
"126","C11H8O5","ConHC","aromatic","aromatic",0.6471,0.1818,0.73,0.45,3,8,0.2727
"127","C8H12O7","Carb","aliphatic","aliphatic",-0.1111,0.25,1.5,0.88,-4,3,-0.5
"128","C7H12O6N2","Carb","aliphatic","aliphatic+N",-1,0.8571,1.71,0.86,-5,3,-0.7143
"129","C12H12O4","Lignin","unsaturated/lignin","unsaturated/lignin",0.5,-0.3333,1,0.33,3,7,0.25
"130","C9H16O6","AminoSugar","aliphatic","aliphatic",-0.1667,-0.4444,1.78,0.67,-4,2,-0.4444
"131","C8H16O5N2","AminoSugar","aliphatic","lipid",-0.7143,0,2,0.62,-5,2,-0.625
"132","C13H16O3","Lignin","unsaturated/lignin","unsaturated/lignin",0.3913,-0.7692,1.23,0.23,3,6,0.2308
"133","C10H20O5","Protein","aliphatic","lipid",-0.2,-1,2,0.5,-4,1,-0.4
"134","C14H20O2","Lignin","unsaturated/lignin","unsaturated/lignin",0.3077,-1.1429,1.43,0.14,3,5,0.2143
"135","C15H24O1","Lipid","aliphatic","aliphatic",0.2414,-1.4667,1.6,0.07,3,4,0.2
"136","C8H15O6N1","Carb","aliphatic","aliphatic+N",-0.5,0,1.88,0.75,-5,2,-0.625
"137","C13H19O2N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2727,-0.9231,1.46,0.15,2,5,0.1538
"138","C10H6O6","ConHC","condensed aromatic","condensed aromatic",0.7143,0.6,0.6,0.6,2,8,0.2
"139","C7H10O6S1","Tannin","unsaturated/lignin","unsaturated/lignin",-0.3333,0.5714,1.43,0.86,-4,3,-0.5714
"140","C7H10O8","Other","unsaturated/lignin","unsaturated/lignin",-0.3333,0.8571,1.43,1.14,-5,3,-0.7143
"141","C11H10O5","Lignin","aromatic","aromatic",0.5294,0,0.91,0.45,2,7,0.1818
"142","C8H14O7","Carb","aliphatic","aliphatic",-0.3333,0,1.75,0.88,-5,2,-0.625
"143","C12H14O4","Lignin","unsaturated/lignin","unsaturated/lignin",0.4,-0.5,1.17,0.33,2,6,0.1667
"144","C9H18O4S1","Protein","aliphatic","lipid",-0.3333,-0.8889,2,0.44,-4,1,-0.4444
"145","C11H14O3N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.1818,1.27,0.27,1,6,0.0909
"146","C9H18O6","AminoSugar","aliphatic","lipid",-0.3333,-0.6667,2,0.67,-5,1,-0.5556
"147","C13H18O3","Lignin","unsaturated/lignin","unsaturated/lignin",0.3043,-0.9231,1.38,0.23,2,5,0.1538
"148","C10H22O3S1","Protein","aliphatic","lipid",-0.3333,-1.4,2.2,0.3,-4,0,-0.4
"149","C10H23O3P1","Other","aliphatic","lipid",-0.3333,-1.7,2.3,0.3,-4,0,-0.4
"150","C14H22O2","Lipid","aliphatic","aliphatic",0.2308,-1.2857,1.57,0.14,2,4,0.1429
"151","C7H13O5N1S1","Carb","aliphatic","aliphatic+N",-1,0.2857,1.86,0.71,-5,2,-0.7143
"152","C11H13O4N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.375,-0.1818,1.18,0.36,1,6,0.0909
"153","C10H8O6","Lignin","aromatic","aromatic",0.5714,0.4,0.8,0.6,1,7,0.1
"154","C7H12O8","Other","aliphatic","aliphatic",-0.6667,0.5714,1.71,1.14,-6,2,-0.8571
"155","C11H12O5","Lignin","unsaturated/lignin","unsaturated/lignin",0.4118,-0.1818,1.09,0.45,1,6,0.0909
"156","C8H16O5S1","AminoSugar","aliphatic","lipid",-0.5556,-0.5,2,0.62,-5,1,-0.625
"157","C15H12O2","Lignin","aromatic","aromatic",0.6429,-0.5333,0.8,0.13,8,10,0.5333
"158","C8H16O7","Carb","aliphatic","lipid",-0.5556,-0.25,2,0.88,-6,1,-0.75
"159","C12H16O4","Lignin","unsaturated/lignin","unsaturated/lignin",0.3,-0.6667,1.33,0.33,1,5,0.0833
"160","C13H20O3","Lipid","aliphatic","aliphatic",0.2174,-1.0769,1.54,0.23,1,4,0.0769
"161","C14H24O2","Lipid","aliphatic","aliphatic",0.1538,-1.4286,1.71,0.14,1,3,0.0714
"162","C13H24O1N2","Lipid","aliphatic","aliphatic+N",0.0476,-1.2308,1.85,0.08,0,3,0
"163","C10H11O5N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.3846,0.2,1.1,0.5,0,6,0
"164","C11H15O4N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.25,-0.3636,1.36,0.36,0,5,0
"165","C13H23O2N1","Lipid","aliphatic","aliphatic+N",0.0909,-1.2308,1.77,0.15,0,3,0
"166","C9H6O7","ConHC","aromatic","aromatic",0.6364,0.8889,0.67,0.78,0,7,0
"167","C6H10O7S1","Other","aliphatic","aliphatic",-1.6667,1,1.67,1.17,-6,2,-1
"168","C12H7O1N2P1","ConHC","condensed aromatic","condensed aromatic",0.8824,0.0833,0.58,0.08,7,11,0.5833
"169","C10H10O6","Lignin","unsaturated/lignin","unsaturated/lignin",0.4286,0.2,1,0.6,0,6,0
"170","C14H10O3","ConHC","condensed aromatic","condensed aromatic",0.68,-0.2857,0.71,0.21,7,10,0.5
"171","C7H14O8","Other","aliphatic","carbohydrate",-1,0.2857,2,1.14,-7,1,-1
"172","C8H18O3S2","Protein","aliphatic","lipid",-0.7778,-1,2.25,0.38,-5,0,-0.625
"173","C11H14O5","Lignin","unsaturated/lignin","unsaturated/lignin",0.2941,-0.3636,1.27,0.45,0,5,0
"174","C8H18O5S1","Other","aliphatic","lipid",-0.7778,-0.75,2.25,0.62,-6,0,-0.75
"175","C10H14O4N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.1667,0,1.4,0.4,-1,5,-0.1
"176","C12H18O4","Protein","aliphatic","aliphatic",0.2,-0.8333,1.5,0.33,0,4,0
"177","C13H22O3","Lipid","aliphatic","aliphatic",0.1304,-1.2308,1.69,0.23,0,3,0
"178","C12H22O2N2","Lipid","aliphatic","aliphatic+N",0,-1,1.83,0.17,-1,3,-0.0833
"179","C14H26O2","Lipid","aliphatic","aliphatic",0.0769,-1.5714,1.86,0.14,0,2,0
"180","C15H30O1","Lipid","aliphatic","lipid",0.0345,-1.8667,2,0.07,0,1,0
"181","C6H13O6N1S1","Carb","aliphatic","carbohydrate",-4,0.6667,2.17,1,-7,1,-1.1667
"182","C10H13O5N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2308,0,1.3,0.5,-1,5,-0.1
"183","C12H21O3N1","Lipid","aliphatic","aliphatic+N",0.0526,-1,1.75,0.25,-1,3,-0.0833
"184","C13H25O2N1","Lipid","aliphatic","aliphatic+N",0,-1.3846,1.92,0.15,-1,2,-0.0769
"185","C9H8O7","Tannin","unsaturated/lignin","unsaturated/lignin",0.4545,0.6667,0.89,0.78,-1,6,-0.1111
"186","C13H8O4","ConHC","condensed aromatic","condensed aromatic",0.7273,0,0.62,0.31,6,10,0.4615
"187","C12H9O1N2P1","ConHC","condensed aromatic","condensed aromatic",0.7647,-0.0833,0.75,0.08,6,10,0.5
"188","C10H12O4S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2857,-0.2,1.2,0.4,0,5,0
"189","C10H12O6","Lignin","unsaturated/lignin","unsaturated/lignin",0.2857,0,1.2,0.6,-1,5,-0.1
"190","C9H12O5N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.1111,0.4444,1.33,0.56,-2,5,-0.2222
"191","C14H12O3","Lignin","aromatic","aromatic",0.6,-0.4286,0.86,0.21,6,9,0.4286
"192","C11H16O5","Lignin","unsaturated/lignin","unsaturated/lignin",0.1765,-0.5455,1.45,0.45,-1,4,-0.0909
"193","C10H16O4N2","Protein","aliphatic","aliphatic+N",0,-0.2,1.6,0.4,-2,4,-0.2
"194","C15H16O2","Lignin","unsaturated/lignin","unsaturated/lignin",0.5,-0.8,1.07,0.13,6,8,0.4
"195","C12H20O4","Protein","aliphatic","aliphatic",0.1,-1,1.67,0.33,-1,3,-0.0833
"196","C11H20O3N2","Lipid","aliphatic","aliphatic+N",-0.0667,-0.7273,1.82,0.27,-2,3,-0.1818
"197","C13H24O3","Lipid","aliphatic","aliphatic",0.0435,-1.3846,1.85,0.23,-1,2,-0.0769
"198","C14H28O2","Lipid","aliphatic","lipid",0,-1.7143,2,0.14,-1,1,-0.0714
"199","C6H15O6N1S1","Other","aliphatic","carbohydrate",-5,0.3333,2.5,1,-8,0,-1.3333
"200","C10H15O3N1S1","Protein","aliphatic","aliphatic+N",0.0769,-0.4,1.5,0.3,-1,4,-0.1
"201","C9H15O4N3","Protein","aliphatic","aliphatic+N",-0.25,0.2222,1.67,0.44,-3,4,-0.3333
"202","C11H19O4N1","Protein","aliphatic","aliphatic+N",0,-0.7273,1.73,0.36,-2,3,-0.1818
"203","C12H23O3N1","Lipid","aliphatic","aliphatic+N",-0.0526,-1.1667,1.92,0.25,-2,2,-0.1667
"204","C12H6O5","ConHC","condensed aromatic","condensed aromatic",0.7895,0.3333,0.5,0.42,5,10,0.4167
"205","C9H10O5S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2727,0.2222,1.11,0.56,-1,5,-0.1111
"206","C9H10O7","Tannin","unsaturated/lignin","unsaturated/lignin",0.2727,0.4444,1.11,0.78,-2,5,-0.2222
"207","C13H10O4","ConHC","aromatic","aromatic",0.6364,-0.1538,0.77,0.31,5,9,0.3846
"208","C10H14O6","Lignin","unsaturated/lignin","unsaturated/lignin",0.1429,-0.2,1.4,0.6,-2,4,-0.2
"209","C9H14O5N2","AminoSugar","aliphatic","aliphatic+N",-0.1111,0.2222,1.56,0.56,-3,4,-0.3333
"210","C14H14O3","Lignin","aromatic","aromatic",0.52,-0.5714,1,0.21,5,8,0.3571
"211","C11H18O5","Protein","aliphatic","aliphatic",0.0588,-0.7273,1.64,0.45,-2,3,-0.1818
"212","C15H18O2","Lignin","unsaturated/lignin","unsaturated/lignin",0.4286,-0.9333,1.2,0.13,5,7,0.3333
"213","C12H22O4","Protein","aliphatic","aliphatic",0,-1.1667,1.83,0.33,-2,2,-0.1667
"214","C11H22O3N2","Lipid","aliphatic","lipid",-0.2,-0.9091,2,0.27,-3,2,-0.2727
"215","C13H26O3","Lipid","aliphatic","lipid",-0.0435,-1.5385,2,0.23,-2,1,-0.1538
"216","C7H5O4N1S2","ConHC","unsaturated/lignin","unsaturated/lignin",0.5,1.4286,0.71,0.57,-1,6,-0.1429
"217","C9H13O6N1","Tannin","unsaturated/lignin","unsaturated/lignin",0,0.2222,1.44,0.67,-3,4,-0.3333
"218","C13H13O3N1","Lignin","aromatic","aromatic",0.5238,-0.3077,1,0.23,4,8,0.3077
"219","C10H17O5N1","Protein","aliphatic","aliphatic+N",-0.0769,-0.4,1.7,0.5,-3,3,-0.3
"220","C9H17O4N3","Protein","aliphatic","aliphatic+N",-0.5,0,1.89,0.44,-4,3,-0.4444
"221","C11H21O4N1","Protein","aliphatic","aliphatic+N",-0.125,-0.9091,1.91,0.36,-3,2,-0.2727
"222","C11H4O6","ConHC","condensed aromatic","condensed aromatic",0.875,0.7273,0.36,0.55,4,10,0.3636
"223","C12H8O5","ConHC","condensed aromatic","condensed aromatic",0.6842,0.1667,0.67,0.42,4,9,0.3333
"224","C9H12O7","Tannin","unsaturated/lignin","unsaturated/lignin",0.0909,0.2222,1.33,0.78,-3,4,-0.3333
"225","C13H12O4","Lignin","aromatic","aromatic",0.5455,-0.3077,0.92,0.31,4,8,0.3077
"226","C10H16O6","AminoSugar","aliphatic","aliphatic",0,-0.4,1.6,0.6,-3,3,-0.3
"227","C9H16O5N2","AminoSugar","aliphatic","aliphatic+N",-0.3333,0,1.78,0.56,-4,3,-0.4444
"228","C14H16O3","Lignin","unsaturated/lignin","unsaturated/lignin",0.44,-0.7143,1.14,0.21,4,7,0.2857
"229","C13H16O2N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.4,-0.4615,1.23,0.15,3,7,0.2308
"230","C11H20O5","Protein","aliphatic","aliphatic",-0.0588,-0.9091,1.82,0.45,-3,2,-0.2727
"231","C10H20O4N2","Protein","aliphatic","lipid",-0.3333,-0.6,2,0.4,-4,2,-0.4
"232","C15H20O2","Lignin","unsaturated/lignin","unsaturated/lignin",0.3571,-1.0667,1.33,0.13,4,6,0.2667
"233","C12H24O4","Protein","aliphatic","lipid",-0.1,-1.3333,2,0.33,-3,1,-0.25
"234","C16H24O1","Lipid","aliphatic","aliphatic",0.2903,-1.375,1.5,0.06,4,5,0.25
"235","C8H11O7N1","Tannin","unsaturated/lignin","unsaturated/lignin",-0.1429,0.75,1.38,0.88,-4,4,-0.5
"236","C8H15O5N3","AminoSugar","aliphatic","aliphatic+N",-1,0.5,1.88,0.62,-5,3,-0.625
"237","C11H6O6","ConHC","condensed aromatic","condensed aromatic",0.75,0.5455,0.55,0.55,3,9,0.2727
"238","C12H10O5","Lignin","aromatic","aromatic",0.5789,0,0.83,0.42,3,8,0.25
"239","C9H14O7","Carb","aliphatic","aliphatic",-0.0909,0,1.56,0.78,-4,3,-0.4444
"240","C8H14O6N2","Carb","aliphatic","aliphatic+N",-0.6667,0.5,1.75,0.75,-5,3,-0.625
"241","C13H14O4","Lignin","unsaturated/lignin","unsaturated/lignin",0.4545,-0.4615,1.08,0.31,3,7,0.2308
"242","C10H18O4S1","Protein","aliphatic","aliphatic",-0.1429,-0.8,1.8,0.4,-3,2,-0.3
